SNO,Timestamp,Phase,Heater_Profile,Heater_Temparature,MQ136,MQ138_A,MQ138_B,BME688_D,BME688_C,TGS2602,SPEC,Alpha_PID,Temp,Hum,ActiveSensorsArray,VOC_Activated,Concentration,Distance
1,7/15/25 12:10,Pre-Puff,HP501,40,55,1824,1879,1423,1091,0.929,590,1188,25.99,48,"1,2,3,4,5,6,7,8",Toluene,0,0
2,7/15/25 12:10,Pre-Puff,HP501,50,61,1880,1918,1479,1307,0.9163,631,1177,26.77,49,"1,2,3,4,5,6,7,8",Toluene,0,0
3,7/15/25 12:10,Pre-Puff,HP501,60,55,1857,1894,1394,1167,0.9666,601,1200,24.39,49,"1,2,3,4,5,6,7,8",Toluene,0,0
4,7/15/25 12:10,Pre-Puff,HP501,70,59,1825,1880,1369,1151,1.0019,639,1145,24.37,48,"1,2,3,4,5,6,7,8",Toluene,0,0
5,7/15/25 12:10,Pre-Puff,HP501,80,55,1750,1785,1216,1280,0.9326,577,1147,27.55,51,"1,2,3,4,5,6,7,8",Toluene,0,0
6,7/15/25 12:10,Pre-Puff,HP501,90,60,1824,1879,1433,1318,0.9748,645,1216,25.41,50,"1,2,3,4,5,6,7,8",Toluene,0,0
7,7/15/25 12:10,Pre-Puff,HP501,100,55,1714,1765,1311,1127,0.9355,668,1191,24.57,50,"1,2,3,4,5,6,7,8",Toluene,0,0
8,7/15/25 12:10,Pre-Puff,HP501,110,60,1680,1730,1342,1132,0.9623,619,1222,27.75,49,"1,2,3,4,5,6,7,8",Toluene,0,0
9,7/15/25 12:10,Pre-Puff,HP501,120,60,1834,1871,1303,1318,0.9616,551,1172,26.02,50,"1,2,3,4,5,6,7,8",Toluene,0,0
10,7/15/25 12:10,Pre-Puff,HP501,130,62,1715,1749,1435,1086,0.9371,567,1217,26.01,51,"1,2,3,4,5,6,7,8",Toluene,0,0
11,7/15/25 12:10,Pre-Puff,HP501,140,64,1727,1779,1356,1119,0.9158,605,1221,25.01,50,"1,2,3,4,5,6,7,8",Toluene,0,0
12,7/15/25 12:10,Pre-Puff,HP501,150,62,1728,1763,1237,1156,1.0184,628,1229,26.22,48,"1,2,3,4,5,6,7,8",Toluene,0,0
13,7/15/25 12:10,Pre-Puff,HP501,160,61,1701,1752,1366,1139,1.0139,630,1180,27.73,49,"1,2,3,4,5,6,7,8",Toluene,0,0
14,7/15/25 12:11,Pre-Puff,HP501,170,58,1858,1895,1218,1213,0.9638,559,1139,24.51,50,"1,2,3,4,5,6,7,8",Toluene,0,0
15,7/15/25 12:11,Pre-Puff,HP501,180,62,1867,1923,1320,1294,0.9658,591,1198,25.48,50,"1,2,3,4,5,6,7,8",Toluene,0,0
16,7/15/25 12:11,Pre-Puff,HP501,190,62,1804,1858,1264,1143,1.0161,625,1147,25.08,49,"1,2,3,4,5,6,7,8",Toluene,0,0
17,7/15/25 12:11,Pre-Puff,HP501,200,62,1706,1757,1304,1159,0.9704,665,1189,26.6,49,"1,2,3,4,5,6,7,8",Toluene,0,0
18,7/15/25 12:11,Pre-Puff,HP501,210,61,1765,1818,1290,1231,0.903,599,1137,22.69,48,"1,2,3,4,5,6,7,8",Toluene,0,0
19,7/15/25 12:11,Pre-Puff,HP501,220,55,1799,1835,1401,1263,0.9272,672,1229,25.69,48,"1,2,3,4,5,6,7,8",Toluene,0,0
20,7/15/25 12:11,Pre-Puff,HP501,230,64,1823,1878,1296,1142,0.9132,657,1229,26.36,50,"1,2,3,4,5,6,7,8",Toluene,0,0
21,7/15/25 12:11,Pre-Puff,HP501,240,58,1717,1769,1426,1141,0.9534,577,1116,26.33,51,"1,2,3,4,5,6,7,8",Toluene,0,0
22,7/15/25 12:11,Pre-Puff,HP501,250,57,1809,1863,1390,1277,1.0066,675,1153,24.89,50,"1,2,3,4,5,6,7,8",Toluene,0,0
23,7/15/25 12:11,Pre-Puff,HP501,260,64,1724,1776,1475,1122,0.9495,623,1235,25.78,48,"1,2,3,4,5,6,7,8",Toluene,0,0
24,7/15/25 12:11,Pre-Puff,HP501,270,62,1824,1860,1460,1118,0.9621,596,1183,22.85,49,"1,2,3,4,5,6,7,8",Toluene,0,0
25,7/15/25 12:11,Pre-Puff,HP501,280,62,1682,1732,1406,1309,0.9977,629,1115,22.86,50,"1,2,3,4,5,6,7,8",Toluene,0,0
26,7/15/25 12:11,Pre-Puff,HP501,290,63,1718,1752,1380,1203,0.9813,656,1209,27.28,48,"1,2,3,4,5,6,7,8",Toluene,0,0
27,7/15/25 12:11,Pre-Puff,HP501,300,58,1849,1904,1277,1207,0.9705,656,1132,25.41,50,"1,2,3,4,5,6,7,8",Toluene,0,0
28,7/15/25 12:11,Pre-Puff,HP501,310,56,1801,1855,1360,1117,0.9927,616,1142,22.9,50,"1,2,3,4,5,6,7,8",Toluene,0,0
29,7/15/25 12:11,Pre-Puff,HP501,320,64,1760,1813,1240,1290,1.0016,675,1117,26.15,48,"1,2,3,4,5,6,7,8",Toluene,0,0
30,7/15/25 12:11,Pre-Puff,HP501,330,59,1751,1786,1294,1181,0.9643,604,1180,27.49,48,"1,2,3,4,5,6,7,8",Toluene,0,0
31,7/15/25 12:11,Pre-Puff,HP501,340,56,1820,1875,1397,1300,0.9748,556,1200,22.71,49,"1,2,3,4,5,6,7,8",Toluene,0,0
32,7/15/25 12:11,Pre-Puff,HP501,350,65,1877,1915,1406,1102,0.9581,597,1193,22.39,48,"1,2,3,4,5,6,7,8",Toluene,0,0
