SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME1_Temp,BME1_Hum,BME1_Gas(kOhm),SGP40_VOC,Activated,Concentration,Distance
1,28-07-2025,21:47:37:952529,Pre-Puff,322,119,4095,30.26,61.98,36.55,30840,YES,N/A,0
2,28-07-2025,21:47:39:758526,Pre-Puff,322,119,4095,30.43,61.58,46.06,30850,YES,N/A,0
3,28-07-2025,21:47:41:564528,Pre-Puff,322,141,4095,30.54,61.3,54.44,30855,YES,N/A,0
4,28-07-2025,21:47:46:170523,Pre-Puff,322,113,4095,30.49,61.21,62.27,30855,YES,N/A,0
5,28-07-2025,21:47:47:976528,Pre-Puff,322,80,4095,30.55,61.11,67.23,30854,YES,N/A,0
6,28-07-2025,21:47:49:782525,Pre-Puff,322,119,4095,30.6,61,70.39,30853,YES,N/A,0
7,28-07-2025,21:47:51:588528,Pre-Puff,322,118,4095,30.62,60.94,73.16,30849,YES,N/A,0
8,28-07-2025,21:47:53:394524,Pre-Puff,322,121,4095,30.63,60.9,75.56,30853,YES,N/A,0
9,28-07-2025,21:47:55:200528,Pre-Puff,322,75,4095,30.62,60.85,76.99,30857,YES,N/A,0
10,28-07-2025,21:47:57:006524,Pre-Puff,322,113,4095,30.61,60.84,78.19,30859,YES,N/A,0
11,28-07-2025,21:47:58:812528,Pre-Puff,322,115,4095,30.61,60.92,79.35,30862,YES,N/A,0
12,28-07-2025,21:48:00:618524,Pre-Puff,322,117,4095,30.6,61.04,80.4,30863,YES,N/A,0
13,28-07-2025,21:48:02:424528,Pre-Puff,322,122,4095,30.59,61.08,80.78,30858,YES,N/A,0
14,28-07-2025,21:48:04:230524,Pre-Puff,322,82,4095,30.59,61.08,81.95,30858,YES,N/A,0
15,28-07-2025,21:48:06:036528,Pre-Puff,322,81,4095,30.58,61.06,83.47,30862,YES,N/A,0
16,28-07-2025,21:48:07:842525,Pre-Puff,322,120,4095,30.58,61.05,82.82,30860,YES,N/A,0
17,28-07-2025,21:48:09:648528,Pre-Puff,322,122,4095,30.57,61.05,83.47,30861,YES,N/A,0
18,28-07-2025,21:48:11:454524,Pre-Puff,322,80,4095,30.56,61.03,83.8,30862,YES,N/A,0
19,28-07-2025,21:48:13:260528,Pre-Puff,322,121,4095,30.55,61.03,84.29,30864,YES,N/A,0
20,28-07-2025,21:48:15:066524,Pre-Puff,322,116,4095,30.54,61.07,84.96,30863,YES,N/A,0
21,28-07-2025,21:48:16:872528,Pre-Puff,322,117,4095,30.52,61.09,85.13,30863,YES,N/A,0
22,28-07-2025,21:48:18:678525,Pre-Puff,322,82,4095,30.51,61.13,85.47,30861,YES,N/A,0
