SNO,Timestamp,Phase,MQ136_A,MQ136_B,MQ136_C,MQ138_A,MQ138_B,MQ138_C,BME688_HP501,BME688_HP503,BME688_HP322,TGS2602_A,TGS2602_B,Temp,Hum,ActiveSensorsArray,VOC_Activated,Concentration,Distance
1,7/16/25 12:13,Puff,670,651,683,1660,1671,1636,1187,1455,1321,1679,1725,27.19,48,"1,2,3,4,5,6,7,8",Toluene,10,15
2,7/16/25 12:13,Puff,682,629,663,1756,1718,1714,1190,1404,1297,1666,1727,23.18,51,"1,2,3,4,5,6,7,8",Toluene,10,15
3,7/16/25 12:13,Puff,632,631,669,1717,1652,1750,1157,1463,1310,1680,1677,27.14,50,"1,2,3,4,5,6,7,8",Toluene,10,15
4,7/16/25 12:13,Puff,682,615,624,1716,1690,1623,1145,1463,1304,1691,1731,23.28,49,"1,2,3,4,5,6,7,8",Toluene,10,15
5,7/16/25 12:13,Puff,633,652,628,1735,1716,1635,1188,1422,1305,1671,1735,26.14,50,"1,2,3,4,5,6,7,8",Toluene,10,15
6,7/16/25 12:13,Puff,653,629,675,1754,1645,1651,1250,1495,1373,1771,1658,24,48,"1,2,3,4,5,6,7,8",Toluene,10,15
7,7/16/25 12:13,Puff,653,675,635,1739,1706,1627,1161,1418,1290,1734,1766,24.2,50,"1,2,3,4,5,6,7,8",Toluene,10,15
8,7/16/25 12:13,Puff,658,653,660,1751,1710,1698,1138,1505,1322,1689,1742,26.97,51,"1,2,3,4,5,6,7,8",Toluene,10,15
9,7/16/25 12:13,Puff,644,631,647,1705,1637,1730,1131,1455,1293,1651,1707,27.11,49,"1,2,3,4,5,6,7,8",Toluene,10,15
10,7/16/25 12:13,Puff,612,647,674,1665,1687,1714,1224,1392,1308,1713,1650,27.23,51,"1,2,3,4,5,6,7,8",Toluene,10,15
11,7/16/25 12:13,Puff,656,628,640,1713,1636,1622,1158,1428,1293,1763,1754,26.15,50,"1,2,3,4,5,6,7,8",Toluene,10,15
12,7/16/25 12:13,Puff,640,663,665,1658,1671,1622,1241,1519,1380,1716,1729,23.98,48,"1,2,3,4,5,6,7,8",Toluene,10,15
13,7/16/25 12:13,Puff,674,689,654,1758,1659,1710,1179,1441,1310,1674,1696,26.05,49,"1,2,3,4,5,6,7,8",Toluene,10,15
14,7/16/25 12:14,Puff,658,685,662,1640,1732,1719,1202,1425,1314,1778,1714,22.24,50,"1,2,3,4,5,6,7,8",Toluene,10,15
15,7/16/25 12:14,Puff,620,660,647,1697,1706,1754,1140,1382,1261,1744,1681,27.02,51,"1,2,3,4,5,6,7,8",Toluene,10,15
16,7/16/25 12:14,Puff,689,682,664,1643,1745,1643,1118,1384,1251,1773,1764,22.48,49,"1,2,3,4,5,6,7,8",Toluene,10,15
17,7/16/25 12:14,Puff,626,647,635,1648,1630,1758,1233,1454,1344,1747,1651,24.54,48,"1,2,3,4,5,6,7,8",Toluene,10,15
18,7/16/25 12:14,Puff,615,664,616,1651,1735,1715,1109,1509,1309,1773,1666,23.1,49,"1,2,3,4,5,6,7,8",Toluene,10,15
19,7/16/25 12:14,Puff,621,658,622,1638,1647,1748,1127,1445,1286,1731,1700,22.9,51,"1,2,3,4,5,6,7,8",Toluene,10,15
20,7/16/25 12:14,Puff,656,671,667,1730,1701,1698,1192,1504,1348,1708,1768,26.64,49,"1,2,3,4,5,6,7,8",Toluene,10,15
21,7/16/25 12:14,Puff,615,679,614,1693,1727,1747,1134,1441,1288,1645,1700,24.75,48,"1,2,3,4,5,6,7,8",Toluene,10,15
22,7/16/25 12:14,Puff,619,652,685,1622,1669,1631,1192,1513,1353,1731,1660,26.28,50,"1,2,3,4,5,6,7,8",Toluene,10,15
23,7/16/25 12:14,Puff,668,639,618,1653,1754,1742,1208,1449,1329,1699,1712,25.1,51,"1,2,3,4,5,6,7,8",Toluene,10,15
24,7/16/25 12:14,Puff,683,671,649,1713,1733,1734,1112,1430,1271,1684,1699,26.13,50,"1,2,3,4,5,6,7,8",Toluene,10,15
25,7/16/25 12:14,Puff,664,688,623,1622,1626,1647,1183,1388,1286,1643,1641,22.3,51,"1,2,3,4,5,6,7,8",Toluene,10,15
26,7/16/25 12:14,Puff,665,627,610,1668,1751,1622,1238,1424,1331,1677,1726,23.67,49,"1,2,3,4,5,6,7,8",Toluene,10,15
27,7/16/25 12:14,Puff,678,617,629,1714,1711,1631,1122,1401,1262,1742,1666,26.6,49,"1,2,3,4,5,6,7,8",Toluene,10,15
28,7/16/25 12:14,Puff,682,683,632,1737,1731,1644,1155,1514,1335,1669,1709,25.48,48,"1,2,3,4,5,6,7,8",Toluene,10,15
29,7/16/25 12:14,Puff,686,686,654,1712,1731,1674,1125,1477,1301,1720,1711,27.51,49,"1,2,3,4,5,6,7,8",Toluene,10,15
30,7/16/25 12:14,Puff,654,634,674,1634,1632,1741,1248,1500,1374,1725,1710,23.92,50,"1,2,3,4,5,6,7,8",Toluene,10,15
