SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME1_Temp,BME1_Hum,BME1_HeaterRes,SGP40_VOC,VOC,Concentration,Distance
1,13-08-2025,11:51:48:243042,Pre-Puff,322,80,0,24.4,36.14,105982,31226,N/A,N/A,N/A
2,13-08-2025,11:51:49:778844,Pre-Puff,322,81,0,24.33,36.14,107180,31225,N/A,N/A,N/A
3,13-08-2025,11:51:51:215846,Pre-Puff,322,82,0,24.28,36.1,107653,31223,N/A,N/A,N/A
4,13-08-2025,11:51:52:656844,Pre-Puff,322,84,0,24.24,36.08,108130,31220,N/A,N/A,N/A
5,13-08-2025,11:51:53:965845,Pre-Puff,322,81,0,24.2,36.07,109098,31217,N/A,N/A,N/A
6,13-08-2025,11:51:55:502845,Pre-Puff,322,83,0,24.15,36.05,109589,31215,N/A,N/A,N/A
7,13-08-2025,11:51:56:934846,Pre-Puff,322,81,0,24.1,36.08,109942,31215,N/A,N/A,N/A
8,13-08-2025,11:51:58:368845,Pre-Puff,322,82,0,24.06,36.08,110583,31216,N/A,N/A,N/A
9,13-08-2025,11:51:59:802846,Pre-Puff,322,82,0,24.01,36.13,110654,31217,N/A,N/A,N/A
10,13-08-2025,11:52:01:235844,Pre-Puff,322,80,0,23.97,36.16,111668,31216,N/A,N/A,N/A
11,13-08-2025,11:52:02:515845,Pre-Puff,322,82,0,23.93,36.18,112700,31215,N/A,N/A,N/A
12,13-08-2025,11:52:03:899844,Pre-Puff,322,80,0,23.89,36.23,113374,31212,N/A,N/A,N/A
13,13-08-2025,11:52:05:331846,Pre-Puff,322,80,0,23.85,36.24,113224,31213,N/A,N/A,N/A
14,13-08-2025,11:52:06:766844,Pre-Puff,322,82,0,23.81,36.28,113676,31213,N/A,N/A,N/A
15,13-08-2025,11:52:08:200846,Pre-Puff,322,82,0,23.77,36.32,115211,31213,N/A,N/A,N/A
16,13-08-2025,11:52:09:644845,Pre-Puff,322,82,0,23.73,36.37,114438,31215,N/A,N/A,N/A
17,13-08-2025,11:52:11:071846,Pre-Puff,322,81,0,23.69,36.4,114438,31214,N/A,N/A,N/A
18,13-08-2025,11:52:12:509844,Pre-Puff,322,83,0,23.66,36.44,115837,31210,N/A,N/A,N/A
19,13-08-2025,11:52:13:951846,Pre-Puff,322,81,0,23.63,36.47,114746,31211,N/A,N/A,N/A
20,13-08-2025,11:52:15:371845,Pre-Puff,322,82,0,23.6,36.5,115680,31209,N/A,N/A,N/A
21,13-08-2025,11:52:16:810846,Pre-Puff,322,84,0,23.56,36.56,115680,31211,N/A,N/A,N/A
22,13-08-2025,11:52:18:255845,Pre-Puff,322,82,0,23.53,36.59,116231,31211,N/A,N/A,N/A
23,13-08-2025,11:52:19:691846,Pre-Puff,322,83,0,23.5,36.62,116390,31208,N/A,N/A,N/A
24,13-08-2025,11:52:21:123844,Pre-Puff,322,80,0,23.47,36.66,116549,31208,N/A,N/A,N/A
25,13-08-2025,11:52:22:604845,Pre-Puff,322,80,0,23.44,36.72,116231,31209,N/A,N/A,N/A
26,13-08-2025,11:52:23:979844,Pre-Puff,322,81,0,23.41,36.78,116628,31211,N/A,N/A,N/A
27,13-08-2025,11:52:25:473846,Pre-Puff,322,82,0,23.38,36.83,116788,31217,N/A,N/A,N/A
28,13-08-2025,11:52:26:839845,Pre-Puff,322,80,0,23.35,36.89,117189,31220,N/A,N/A,N/A
29,13-08-2025,11:52:28:274846,Pre-Puff,322,81,0,23.32,36.93,116628,31219,N/A,N/A,N/A
30,13-08-2025,11:52:29:923844,Pre-Puff,322,82,0,23.27,37,117108,31223,N/A,N/A,N/A
31,13-08-2025,11:52:31:343845,Pre-Puff,322,80,0,23.24,37.07,116948,31229,N/A,N/A,N/A
32,13-08-2025,11:52:32:777845,Pre-Puff,322,83,0,23.2,37.14,117431,31225,N/A,N/A,N/A
33,13-08-2025,11:52:34:225846,Pre-Puff,322,85,0,23.17,37.2,117108,31225,N/A,N/A,N/A
34,13-08-2025,11:52:35:645845,Pre-Puff,322,81,0,23.13,37.25,117593,31230,N/A,N/A,N/A
35,13-08-2025,11:52:37:283846,Pre-Puff,322,83,0,23.1,37.28,117269,31226,N/A,N/A,N/A
36,13-08-2025,11:52:38:720845,Pre-Puff,322,81,0,23.07,37.35,117350,31228,N/A,N/A,N/A
37,13-08-2025,11:52:40:150846,Pre-Puff,322,82,0,23.04,37.41,117350,31229,N/A,N/A,N/A
38,13-08-2025,11:52:41:584845,Pre-Puff,322,82,0,23.01,37.48,117674,31230,N/A,N/A,N/A
39,13-08-2025,11:52:43:463846,Pre-Puff,322,82,0,22.97,37.55,116390,31228,N/A,N/A,N/A
40,13-08-2025,11:52:45:492845,Pre-Puff,322,84,0,22.93,37.68,115056,31227,N/A,N/A,N/A
41,13-08-2025,11:52:46:909846,Pre-Puff,322,81,0,22.91,37.76,115758,31229,N/A,N/A,N/A
42,13-08-2025,11:52:48:349845,Pre-Puff,322,80,0,22.88,37.78,115523,31231,N/A,N/A,N/A
43,13-08-2025,11:52:49:789846,Pre-Puff,322,82,0,22.87,37.81,116390,31230,N/A,N/A,N/A
44,13-08-2025,11:52:51:248845,Pre-Puff,322,83,0,22.85,37.85,116628,31229,N/A,N/A,N/A
45,13-08-2025,11:52:52:672846,Pre-Puff,322,84,0,22.83,37.87,117028,31226,N/A,N/A,N/A
46,13-08-2025,11:52:54:122844,Pre-Puff,322,80,0,22.81,37.88,116788,31233,N/A,N/A,N/A
47,13-08-2025,11:52:55:512846,Pre-Puff,322,82,0,22.79,37.86,117189,31236,N/A,N/A,N/A
48,13-08-2025,11:52:56:947845,Pre-Puff,322,83,0,22.77,37.89,117593,31237,N/A,N/A,N/A
49,13-08-2025,11:52:58:385846,Pre-Puff,322,84,0,22.75,37.91,117918,31236,N/A,N/A,N/A
50,13-08-2025,11:53:00:050845,Pre-Puff,322,81,0,22.72,37.91,117269,31235,N/A,N/A,N/A
51,13-08-2025,11:53:01:451846,Pre-Puff,322,82,0,22.7,37.94,117512,31235,N/A,N/A,N/A
52,13-08-2025,11:53:02:884844,Pre-Puff,322,85,0,22.68,37.95,118244,31234,N/A,N/A,N/A
53,13-08-2025,11:53:04:319846,Pre-Puff,322,80,0,22.66,37.94,118244,31228,N/A,N/A,N/A
54,13-08-2025,11:53:05:752844,Pre-Puff,322,81,0,22.64,37.96,118244,31228,N/A,N/A,N/A
55,13-08-2025,11:53:07:194845,Pre-Puff,322,83,0,22.62,37.97,118491,31230,N/A,N/A,N/A
56,13-08-2025,11:53:08:630845,Pre-Puff,322,82,0,22.6,37.98,118244,31233,N/A,N/A,N/A
57,13-08-2025,11:53:10:078846,Pre-Puff,322,80,0,22.58,38,119069,31235,N/A,N/A,N/A
58,13-08-2025,11:53:11:510845,Pre-Puff,322,81,0,22.56,38.03,118408,31236,N/A,N/A,N/A
59,13-08-2025,11:53:13:131846,Pre-Puff,322,83,0,22.54,38.06,117918,31239,N/A,N/A,N/A
60,13-08-2025,11:53:14:571845,Pre-Puff,322,80,0,22.53,38.08,119069,31241,N/A,N/A,N/A
61,13-08-2025,11:53:16:011846,Pre-Puff,322,84,0,22.52,38.09,118162,31240,N/A,N/A,N/A
62,13-08-2025,11:53:17:460845,Pre-Puff,322,83,0,22.5,38.1,118244,31237,N/A,N/A,N/A
63,13-08-2025,11:53:18:891846,Pre-Puff,322,83,0,22.5,38.09,119236,31241,N/A,N/A,N/A
64,13-08-2025,11:53:20:512845,Pre-Puff,322,82,0,22.48,38.09,118986,31243,N/A,N/A,N/A
65,13-08-2025,11:53:22:137846,Pre-Puff,322,83,0,22.46,38.06,118738,31242,N/A,N/A,N/A
66,13-08-2025,11:53:23:571844,Pre-Puff,322,80,0,22.45,38.08,118491,31246,N/A,N/A,N/A
67,13-08-2025,11:53:24:824857,Pre-Puff,322,80,0,22.44,38.07,118986,31251,N/A,N/A,N/A
68,13-08-2025,11:53:26:252844,Pre-Puff,322,82,0,22.43,38.02,119152,31247,N/A,N/A,N/A
69,13-08-2025,11:53:27:670845,Pre-Puff,322,82,0,22.41,38.02,119738,31250,N/A,N/A,N/A
70,13-08-2025,11:53:29:100844,Pre-Puff,322,80,0,22.39,38.02,119654,31254,N/A,N/A,N/A
71,13-08-2025,11:53:30:480846,Pre-Puff,322,83,0,22.37,37.99,119906,31251,N/A,N/A,N/A
72,13-08-2025,11:53:32:070844,Pre-Puff,322,81,0,22.35,37.97,120329,31253,N/A,N/A,N/A
73,13-08-2025,11:53:33:607846,Pre-Puff,322,80,0,22.32,37.98,119654,31253,N/A,N/A,N/A
74,13-08-2025,11:53:35:044844,Pre-Puff,322,83,0,22.31,38.01,120159,31253,N/A,N/A,N/A
75,13-08-2025,11:53:36:681846,Pre-Puff,322,82,0,22.29,38.06,119570,31253,N/A,N/A,N/A
76,13-08-2025,11:53:38:112844,Pre-Puff,322,80,0,22.28,38.11,120244,31250,N/A,N/A,N/A
77,13-08-2025,11:53:39:546845,Pre-Puff,322,81,0,22.26,38.11,120498,31250,N/A,N/A,N/A
78,13-08-2025,11:53:40:980844,Pre-Puff,322,81,0,22.25,38.11,119822,31247,N/A,N/A,N/A
79,13-08-2025,11:53:42:619846,Pre-Puff,322,80,0,22.24,38.14,119319,31252,N/A,N/A,N/A
80,13-08-2025,11:53:44:053845,Pre-Puff,322,83,0,22.23,38.14,119990,31254,N/A,N/A,N/A
81,13-08-2025,11:53:45:486846,Pre-Puff,322,82,0,22.22,38.14,119738,31256,N/A,N/A,N/A
82,13-08-2025,11:53:46:924845,Pre-Puff,322,83,0,22.21,38.12,120413,31256,N/A,N/A,N/A
83,13-08-2025,11:53:49:807652,Pre-Puff,322,82,0,22.16,38.09,116948,31259,N/A,N/A,N/A
84,13-08-2025,11:53:51:256843,Pre-Puff,322,82,0,22.14,38.09,117350,31265,N/A,N/A,N/A
85,13-08-2025,11:53:52:688844,Pre-Puff,322,81,0,22.12,38.08,118738,31266,N/A,N/A,N/A
86,13-08-2025,11:53:54:126843,Pre-Puff,322,82,0,22.11,38.05,119236,31272,N/A,N/A,N/A
87,13-08-2025,11:53:55:745845,Pre-Puff,322,82,0,22.09,38.01,118738,31275,N/A,N/A,N/A
88,13-08-2025,11:53:57:185843,Pre-Puff,322,82,0,22.07,37.98,118821,31275,N/A,N/A,N/A
89,13-08-2025,11:53:58:627844,Pre-Puff,322,82,0,22.06,37.97,119236,31275,N/A,N/A,N/A
90,13-08-2025,11:54:00:028843,Pre-Puff,322,84,0,22.05,37.95,119738,31268,N/A,N/A,N/A
91,13-08-2025,11:54:01:461845,Pre-Puff,322,81,0,22.03,37.94,120244,31269,N/A,N/A,N/A
92,13-08-2025,11:54:02:895843,Pre-Puff,322,83,0,22.02,37.96,119906,31271,N/A,N/A,N/A
93,13-08-2025,11:54:04:333844,Pre-Puff,322,82,0,22.01,37.95,120329,31270,N/A,N/A,N/A
94,13-08-2025,11:54:05:763843,Pre-Puff,322,83,0,21.99,37.95,121011,31272,N/A,N/A,N/A
95,13-08-2025,11:54:07:208845,Pre-Puff,322,82,0,21.98,37.93,120498,31275,N/A,N/A,N/A
