SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME1_Temp,BME1_Hum,BME1_HeaterRes,SGP40_VOC,VOC,Concentration,Distance
1,14-08-2025,14:06:47:207982,Pre-Puff,596,64,0,21.99,52.38,97784,31968,N/A,N/A,N/A
2,14-08-2025,14:06:52:876270,Pre-Puff,596,74,0,21.9,52.63,105393,32001,N/A,N/A,N/A
3,14-08-2025,14:06:58:571269,Pre-Puff,596,70,0,21.81,52.94,106577,32030,N/A,N/A,N/A
4,14-08-2025,14:07:00:003270,Pre-Puff,596,73,0,21.76,52.94,125644,32052,N/A,N/A,N/A
5,14-08-2025,14:07:01:435268,Pre-Puff,596,75,0,21.73,52.89,139395,32069,N/A,N/A,N/A
6,14-08-2025,14:07:02:870270,Pre-Puff,596,74,0,21.71,52.83,148621,32076,N/A,N/A,N/A
7,14-08-2025,14:07:04:302269,Pre-Puff,596,71,0,21.69,52.79,155812,32082,N/A,N/A,N/A
8,14-08-2025,14:07:05:736269,Pre-Puff,596,67,0,21.66,52.73,161259,32092,N/A,N/A,N/A
9,14-08-2025,14:07:07:170269,Pre-Puff,596,71,0,21.62,52.63,165964,32097,N/A,N/A,N/A
10,14-08-2025,14:07:08:603270,Pre-Puff,596,71,0,21.57,52.51,170609,32106,N/A,N/A,N/A
11,14-08-2025,14:07:10:038268,Pre-Puff,596,71,0,21.52,52.39,173207,32114,N/A,N/A,N/A
12,14-08-2025,14:07:11:471270,Pre-Puff,596,71,0,21.46,52.28,175703,32121,N/A,N/A,N/A
13,14-08-2025,14:07:12:909269,Pre-Puff,596,73,0,21.39,52.22,178086,32132,N/A,N/A,N/A
14,14-08-2025,14:07:14:339270,Pre-Puff,596,71,0,21.32,52.17,180918,32139,N/A,N/A,N/A
15,14-08-2025,14:07:21:508269,Pre-Puff,596,73,0,21.13,52.93,138490,32171,N/A,N/A,N/A
16,14-08-2025,14:07:24:989269,Pre-Puff,596,64,0,20.97,53.42,137597,32196,N/A,N/A,N/A
17,14-08-2025,14:07:26:424269,Pre-Puff,596,74,0,20.87,53.54,153293,32209,N/A,N/A,N/A
18,14-08-2025,14:07:27:857270,Pre-Puff,596,72,0,20.79,53.66,162798,32219,N/A,N/A,N/A
19,14-08-2025,14:07:29:291269,Pre-Puff,596,73,0,20.74,53.73,170099,32228,N/A,N/A,N/A
20,14-08-2025,14:07:30:726270,Pre-Puff,596,66,0,20.69,53.8,175522,32234,N/A,N/A,N/A
21,14-08-2025,14:07:36:663269,Pre-Puff,596,71,0,20.61,54.37,143860,32243,N/A,N/A,N/A
22,14-08-2025,14:07:42:398270,Pre-Puff,596,71,0,20.51,54.59,129949,32252,N/A,N/A,N/A
23,14-08-2025,14:07:45:879269,Pre-Puff,596,71,0,20.43,54.56,134559,32262,N/A,N/A,N/A
24,14-08-2025,14:07:49:363269,Pre-Puff,596,69,0,20.36,54.54,136170,32272,N/A,N/A,N/A
