SNO,Date,Time,HeaterProfile,BME_Temp,BME_Hum,BME_GasResistance
1,13-08-2025,11:30:34:134929,322,24.81,48.78,31181
2,13-08-2025,11:30:35:506473,322,24.81,48.81,32561
3,13-08-2025,11:30:37:121473,322,24.8,48.77,33534
4,13-08-2025,11:30:38:555473,322,24.8,48.75,34594
5,13-08-2025,11:30:39:996473,322,24.79,48.71,35605
6,13-08-2025,11:30:41:422473,322,24.78,48.69,36613
7,13-08-2025,11:30:42:855473,322,24.77,48.64,37613
8,13-08-2025,11:30:44:289473,322,24.76,48.6,38254
9,13-08-2025,11:30:45:729473,322,24.74,48.56,39024
10,13-08-2025,11:30:46:954473,322,24.74,48.53,40050
11,13-08-2025,11:30:48:609473,322,24.71,48.44,40353
12,13-08-2025,11:30:55:990473,322,24.61,48.94,34399
13,13-08-2025,11:30:57:428473,322,24.57,48.93,34848
14,13-08-2025,11:30:59:445473,322,24.52,48.86,35281
15,13-08-2025,11:31:00:878473,322,24.5,48.85,36209
16,13-08-2025,11:31:02:311473,322,24.48,48.8,37252
17,13-08-2025,11:31:03:541474,322,24.47,48.77,38288
18,13-08-2025,11:31:04:975473,322,24.45,48.72,39131
19,13-08-2025,11:31:06:821473,322,24.4,48.68,39384
20,13-08-2025,11:31:08:276473,322,24.37,48.6,39937
21,13-08-2025,11:31:16:853550,322,24.26,48.77,33586
22,13-08-2025,11:31:18:292474,322,24.21,48.72,34288
23,13-08-2025,11:31:19:515473,322,24.18,48.63,35427
24,13-08-2025,11:31:21:154473,322,24.14,48.51,36209
25,13-08-2025,11:31:22:414473,322,24.12,48.46,37350
26,13-08-2025,11:31:23:616473,322,24.12,48.39,38740
27,13-08-2025,11:31:25:044473,322,24.09,48.34,39603
28,13-08-2025,11:31:26:478473,322,24.07,48.31,40353
29,13-08-2025,11:31:27:912474,322,24.05,48.3,40933
30,13-08-2025,11:31:29:450473,322,24.03,48.29,41290
31,13-08-2025,11:31:30:783474,322,24.01,48.31,41939
32,13-08-2025,11:31:32:178473,322,23.99,48.29,42737
33,13-08-2025,11:31:33:570473,322,23.97,48.3,43039
34,13-08-2025,11:31:35:388474,322,23.93,48.27,42695
35,13-08-2025,11:31:36:822473,322,23.91,48.23,43301
36,13-08-2025,11:31:38:254474,322,23.89,48.15,43611
37,13-08-2025,11:31:39:687473,322,23.87,48.03,43971
38,13-08-2025,11:31:41:121474,322,23.84,47.92,44336
39,13-08-2025,11:31:42:608473,322,23.82,47.82,44708
40,13-08-2025,11:31:43:991473,322,23.8,47.75,45133
41,13-08-2025,11:31:45:422473,322,23.77,47.7,45373
42,13-08-2025,11:31:46:856473,322,23.76,47.69,45567
43,13-08-2025,11:31:48:292473,322,23.74,47.72,45763
44,13-08-2025,11:31:49:729473,322,23.72,47.74,46059
45,13-08-2025,11:31:51:056473,322,23.7,47.77,46410
46,13-08-2025,11:31:52:512473,322,23.68,47.78,46664
47,13-08-2025,11:31:53:925473,322,23.66,47.78,46766
48,13-08-2025,11:31:55:563473,322,23.63,47.81,46664
49,13-08-2025,11:31:57:015473,322,23.6,47.82,46766
50,13-08-2025,11:31:58:432474,322,23.59,47.87,47663
51,13-08-2025,11:31:59:862474,322,23.57,47.91,47877
52,13-08-2025,11:32:01:089473,322,23.56,47.96,48448
53,13-08-2025,11:32:02:319473,322,23.55,47.9,49089
54,13-08-2025,11:32:03:762473,322,23.52,47.75,49259
55,13-08-2025,11:32:04:981474,322,23.51,47.61,49863
56,13-08-2025,11:32:06:414474,322,23.48,47.46,49892
57,13-08-2025,11:32:07:847474,322,23.44,47.34,50068
58,13-08-2025,11:32:09:281473,322,23.41,47.26,50186
59,13-08-2025,11:32:10:738473,322,23.38,47.19,50215
60,13-08-2025,11:32:12:173473,322,23.35,47.12,50245
61,13-08-2025,11:32:13:605473,322,23.33,47.09,50393
62,13-08-2025,11:32:15:016473,322,23.31,47.08,50483
63,13-08-2025,11:32:16:470473,322,23.28,47.08,50632
64,13-08-2025,11:32:17:891474,322,23.25,47.11,50783
65,13-08-2025,11:32:19:317473,322,23.23,47.11,50904
66,13-08-2025,11:32:21:160474,322,23.19,47.19,50009
67,13-08-2025,11:32:22:604474,322,23.17,47.3,50039
68,13-08-2025,11:32:24:041474,322,23.15,47.41,50186
69,13-08-2025,11:32:25:483474,322,23.13,47.49,50304
70,13-08-2025,11:32:26:919473,322,23.12,47.54,50542
71,13-08-2025,11:32:28:360474,322,23.1,47.57,50602
72,13-08-2025,11:32:29:556473,322,23.1,47.52,51302
73,13-08-2025,11:32:30:990474,322,23.08,47.37,51519
74,13-08-2025,11:32:47:752462,322,22.93,47.72,35575
75,13-08-2025,11:32:53:212477,322,22.81,47.81,32512
76,13-08-2025,11:32:54:465473,322,22.76,47.85,33799
77,13-08-2025,11:32:55:772473,322,22.72,47.79,35251
78,13-08-2025,11:32:57:306474,322,22.69,47.66,36771
79,13-08-2025,11:32:58:742473,322,22.66,47.49,38220
80,13-08-2025,11:33:00:174474,322,22.63,47.24,39751
81,13-08-2025,11:33:01:609474,322,22.61,47.03,41012
82,13-08-2025,11:33:03:045474,322,22.59,46.85,42105
83,13-08-2025,11:33:04:475474,322,22.57,46.69,43257
84,13-08-2025,11:33:06:948473,322,22.52,46.55,42652
85,13-08-2025,11:33:09:825473,322,22.46,46.57,41653
86,13-08-2025,11:33:12:462473,322,22.42,46.62,41210
87,13-08-2025,11:33:13:967473,322,22.4,46.65,42230
88,13-08-2025,11:33:15:330473,322,22.4,46.63,43083
89,13-08-2025,11:33:16:767473,322,22.39,46.58,44153
90,13-08-2025,11:33:18:909473,322,22.36,46.57,43971
91,13-08-2025,11:33:20:291473,322,22.36,46.6,44943
92,13-08-2025,11:33:21:678473,322,22.35,46.58,45812
93,13-08-2025,11:33:23:111473,322,22.34,46.49,46613
94,13-08-2025,11:33:24:545473,322,22.33,46.37,48012
95,13-08-2025,11:33:25:988474,322,22.32,46.25,48586
96,13-08-2025,11:33:27:414473,322,22.3,46.09,48864
97,13-08-2025,11:33:28:846473,322,22.29,45.92,49373
98,13-08-2025,11:33:30:280473,322,22.28,45.79,49892
99,13-08-2025,11:33:31:715473,322,22.26,45.71,50423
100,13-08-2025,11:33:34:411477,322,22.21,45.6,48586
101,13-08-2025,11:33:36:424473,322,22.17,45.59,48229
102,13-08-2025,11:33:37:857473,322,22.16,45.58,48724
103,13-08-2025,11:33:39:293473,322,22.14,45.54,49316
104,13-08-2025,11:33:40:522474,322,22.14,45.51,50513
105,13-08-2025,11:33:41:953473,322,22.12,45.5,50844
106,13-08-2025,11:33:43:387473,322,22.11,45.49,51395
107,13-08-2025,11:33:44:824474,322,22.09,45.49,51926
108,13-08-2025,11:33:46:260473,322,22.08,45.51,51863
109,13-08-2025,11:33:47:894474,322,22.06,45.58,51769
110,13-08-2025,11:33:49:349473,322,22.05,45.68,51863
111,13-08-2025,11:33:50:669473,322,22.05,45.7,52469
112,13-08-2025,11:33:52:020473,322,22.05,45.65,52991
113,13-08-2025,11:33:53:240473,322,22.05,45.56,53590
114,13-08-2025,11:33:54:651473,322,22.04,45.42,54134
115,13-08-2025,11:33:56:107546,322,22.02,45.24,54271
116,13-08-2025,11:33:57:332473,322,22.01,45.14,54549
117,13-08-2025,11:33:58:774474,322,22,45.02,54971
118,13-08-2025,11:34:00:031474,322,21.99,44.98,55184
119,13-08-2025,11:34:01:410473,322,21.98,44.93,55435
120,13-08-2025,11:34:02:845474,322,21.96,44.88,55471
121,13-08-2025,11:34:04:285473,322,21.94,44.85,55543
122,13-08-2025,11:34:05:506473,322,21.94,44.83,56350
123,13-08-2025,11:34:06:947474,322,21.93,44.81,56054
124,13-08-2025,11:34:08:372473,322,21.91,44.81,56128
125,13-08-2025,11:34:09:827473,322,21.9,44.8,56128
126,13-08-2025,11:34:11:036474,322,21.9,44.82,56574
127,13-08-2025,11:34:12:294473,322,21.9,44.84,56876
128,13-08-2025,11:34:13:557518,322,21.89,44.85,57028
129,13-08-2025,11:34:14:926473,322,21.88,44.86,57566
130,13-08-2025,11:34:16:361473,322,21.87,44.86,57104
131,13-08-2025,11:34:17:815473,322,21.85,44.86,56914
132,13-08-2025,11:34:19:228473,322,21.83,44.79,57142
133,13-08-2025,11:34:20:660473,322,21.81,44.66,57257
134,13-08-2025,11:34:22:094473,322,21.79,44.54,57104
135,13-08-2025,11:34:24:039473,322,21.75,44.41,56276
136,13-08-2025,11:34:25:473473,322,21.73,44.33,56313
137,13-08-2025,11:34:26:822473,322,21.71,44.26,56574
138,13-08-2025,11:34:28:261474,322,21.7,44.17,56952
139,13-08-2025,11:34:29:700474,322,21.69,44.12,56914
140,13-08-2025,11:34:31:141473,322,21.67,44.1,57334
141,13-08-2025,11:34:32:355473,322,21.68,44.1,57722
142,13-08-2025,11:34:33:570473,322,21.68,44.09,58394
143,13-08-2025,11:34:34:794473,322,21.69,44.11,58837
144,13-08-2025,11:34:36:226473,322,21.68,44.11,58675
145,13-08-2025,11:34:37:455473,322,21.68,44.12,58999
146,13-08-2025,11:34:38:888474,322,21.66,44.1,58837
147,13-08-2025,11:34:40:323473,322,21.65,44.11,58756
148,13-08-2025,11:34:41:755473,322,21.64,44.09,58837
149,13-08-2025,11:34:43:188473,322,21.62,44.07,58274
150,13-08-2025,11:34:44:622473,322,21.6,44.08,58514
151,13-08-2025,11:34:46:088473,322,21.58,44.01,58434
152,13-08-2025,11:34:47:491474,322,21.57,43.96,58434
153,13-08-2025,11:34:48:923473,322,21.55,43.89,58675
154,13-08-2025,11:34:50:356473,322,21.54,43.84,58474
155,13-08-2025,11:34:51:809474,322,21.53,43.81,58554
156,13-08-2025,11:34:53:042474,322,21.53,43.78,59081
157,13-08-2025,11:34:54:471473,322,21.51,43.7,59327
158,13-08-2025,11:34:55:907474,322,21.5,43.62,59163
159,13-08-2025,11:34:57:341474,322,21.48,43.55,58999
160,13-08-2025,11:34:58:788474,322,21.47,43.5,58918
161,13-08-2025,11:35:00:222474,322,21.46,43.44,59163
162,13-08-2025,11:35:01:623474,322,21.45,43.38,59327
163,13-08-2025,11:35:03:263474,322,21.43,43.34,58594
164,13-08-2025,11:35:04:715474,322,21.42,43.36,58877
165,13-08-2025,11:35:06:132535,322,21.41,43.33,58756
166,13-08-2025,11:35:07:564474,322,21.4,43.32,58999
167,13-08-2025,11:35:09:021474,322,21.38,43.29,59040
168,13-08-2025,11:35:10:431474,322,21.37,43.26,59204
169,13-08-2025,11:35:11:686474,322,21.37,43.24,59827
170,13-08-2025,11:35:13:129474,322,21.35,43.21,59869
171,13-08-2025,11:35:14:568474,322,21.34,43.15,59743
172,13-08-2025,11:35:15:786474,322,21.33,43.1,60377
173,13-08-2025,11:35:17:188474,322,21.32,42.99,60420
174,13-08-2025,11:35:18:645474,322,21.3,42.93,60292
175,13-08-2025,11:35:20:057474,322,21.28,42.88,60292
176,13-08-2025,11:35:21:497474,322,21.26,42.87,60249
177,13-08-2025,11:35:22:935474,322,21.25,42.89,60079
178,13-08-2025,11:35:24:376474,322,21.24,42.92,60206
179,13-08-2025,11:35:25:817474,322,21.23,42.96,60249
180,13-08-2025,11:35:27:074474,322,21.23,42.97,60677
181,13-08-2025,11:35:28:452474,322,21.22,42.95,60764
182,13-08-2025,11:35:29:689474,322,21.22,42.97,61025
183,13-08-2025,11:35:30:909474,322,21.23,42.93,61288
184,13-08-2025,11:35:32:347474,322,21.21,42.91,61508
185,13-08-2025,11:35:33:777474,322,21.2,42.9,61288
186,13-08-2025,11:35:35:220474,322,21.19,42.92,61112
187,13-08-2025,11:35:36:644474,322,21.18,42.94,61112
188,13-08-2025,11:35:38:080474,322,21.18,42.99,61156
189,13-08-2025,11:35:39:512474,322,21.18,43,61025
190,13-08-2025,11:35:40:946474,322,21.17,42.97,60462
191,13-08-2025,11:35:42:379474,322,21.16,42.88,60894
192,13-08-2025,11:35:43:836474,322,21.15,42.78,60894
193,13-08-2025,11:35:45:248474,322,21.15,42.68,61112
194,13-08-2025,11:35:46:684474,322,21.15,42.58,61068
195,13-08-2025,11:35:48:124474,322,21.14,42.53,61156
196,13-08-2025,11:35:49:568474,322,21.13,42.48,60894
197,13-08-2025,11:35:51:001474,322,21.13,42.39,61288
198,13-08-2025,11:35:52:470474,322,21.12,42.32,61288
