SNO,Date,Time,HeaterProfile,BME_Temp,BME_Hum,BME_GasResistance
1,14-08-2025,13:58:11:804105,596,25.84,44.86,9864
2,14-08-2025,13:58:13:156926,596,25.8,44.33,20806
3,14-08-2025,13:58:14:589926,596,25.76,43.8,31387
4,14-08-2025,13:58:16:023926,596,25.7,43.34,40622
5,14-08-2025,13:58:17:463926,596,25.65,42.93,49373
6,14-08-2025,13:58:18:890926,596,25.59,42.61,56725
7,14-08-2025,13:58:20:323926,596,25.51,42.34,62362
8,14-08-2025,13:58:21:757926,596,25.44,42.35,66753
9,14-08-2025,13:58:23:192926,596,25.36,42.69,70737
10,14-08-2025,13:58:24:626926,596,25.28,43.18,75493
11,14-08-2025,13:58:26:058926,596,25.2,43.4,79281
12,14-08-2025,13:58:27:491926,596,25.13,43.5,82341
13,14-08-2025,13:58:28:926926,596,25.06,43.55,85134
14,14-08-2025,13:58:30:359926,596,24.98,43.78,87223
15,14-08-2025,13:58:31:792926,596,24.89,44.16,89229
16,14-08-2025,13:58:33:021926,596,24.82,44.47,94273
17,14-08-2025,13:58:34:455926,596,24.75,44.82,95700
18,14-08-2025,13:58:35:888926,596,24.68,45.06,98065
19,14-08-2025,13:58:37:322926,596,24.61,45.2,99785
20,14-08-2025,13:58:38:757926,596,24.54,45.23,101446
21,14-08-2025,13:58:40:189926,596,24.48,45.2,103476
22,14-08-2025,13:58:41:623926,596,24.43,45.14,104489
23,14-08-2025,13:58:43:056926,596,24.38,45.11,106113
24,14-08-2025,13:58:44:285955,596,24.34,45.09,108959
25,14-08-2025,13:58:45:719926,596,24.29,45.1,109518
26,14-08-2025,13:58:47:152926,596,24.24,45.14,110511
27,14-08-2025,13:58:48:586926,596,24.19,45.16,111231
28,14-08-2025,13:58:50:019926,596,24.15,45.2,112182
29,14-08-2025,13:58:51:248926,596,24.12,45.33,113828
30,14-08-2025,13:58:52:479926,596,24.09,45.51,116390
31,14-08-2025,13:58:53:911926,596,24.06,45.65,116310
32,14-08-2025,13:58:55:346926,596,24.02,45.71,116469
33,14-08-2025,13:58:56:573926,596,24,45.77,117836
34,14-08-2025,13:58:58:007926,596,23.96,45.9,117999
35,14-08-2025,13:58:59:440926,596,23.93,46.05,118326
36,14-08-2025,13:59:00:875926,596,23.9,46.26,118162
37,14-08-2025,13:59:02:307926,596,23.87,46.45,118986
38,14-08-2025,13:59:03:742926,596,23.84,46.62,118738
39,14-08-2025,13:59:05:177926,596,23.8,46.8,119654
40,14-08-2025,13:59:06:608926,596,23.76,47.1,119152
41,14-08-2025,13:59:08:042926,596,23.73,47.44,119486
42,14-08-2025,13:59:09:476926,596,23.7,47.77,120075
43,14-08-2025,13:59:10:909926,596,23.67,48.14,120584
44,14-08-2025,13:59:12:342926,596,23.63,48.44,120669
45,14-08-2025,13:59:13:776926,596,23.58,48.84,120159
46,14-08-2025,13:59:15:211926,596,23.54,49.36,119822
47,14-08-2025,13:59:16:644926,596,23.49,49.78,121528
48,14-08-2025,13:59:18:077926,596,23.45,50.06,122576
49,14-08-2025,13:59:19:513926,596,23.41,50.22,121701
50,14-08-2025,13:59:20:944926,596,23.36,50.48,122840
51,14-08-2025,13:59:22:378926,596,23.31,50.9,122400
52,14-08-2025,13:59:23:811926,596,23.27,51.3,122224
53,14-08-2025,13:59:25:246926,596,23.23,51.65,123195
54,14-08-2025,13:59:26:679926,596,23.19,51.91,123552
55,14-08-2025,13:59:28:112926,596,23.16,52.08,124000
56,14-08-2025,13:59:29:546926,596,23.13,52.17,125091
57,14-08-2025,13:59:30:774926,596,23.12,52.1,128772
58,14-08-2025,13:59:32:208926,596,23.09,51.91,128869
59,14-08-2025,13:59:33:645926,596,23.06,51.8,127331
60,14-08-2025,13:59:35:075926,596,23.03,51.84,127331
61,14-08-2025,13:59:36:509926,596,23.01,51.93,127808
62,14-08-2025,13:59:37:738926,596,23,51.99,130545
63,14-08-2025,13:59:39:171926,596,22.98,52.07,128869
64,14-08-2025,13:59:40:605926,596,22.96,52.15,129456
65,14-08-2025,13:59:42:039926,596,22.94,52.17,129358
66,14-08-2025,13:59:43:267926,596,22.93,52.23,131856
67,14-08-2025,13:59:44:703926,596,22.91,52.29,130445
68,14-08-2025,13:59:46:137926,596,22.89,52.34,130645
69,14-08-2025,13:59:47:568926,596,22.87,52.4,131450
70,14-08-2025,13:59:49:003996,596,22.85,52.37,130445
71,14-08-2025,13:59:50:435926,596,22.83,52.4,131046
72,14-08-2025,13:59:51:869926,596,22.8,52.49,130946
73,14-08-2025,13:59:53:302926,596,22.78,52.62,131046
74,14-08-2025,13:59:54:737926,596,22.75,52.9,130048
75,14-08-2025,13:59:56:172926,596,22.73,53.34,129850
76,14-08-2025,13:59:57:604926,596,22.69,53.78,131046
77,14-08-2025,13:59:59:038926,596,22.66,54.17,130645
78,14-08-2025,14:00:00:267926,596,22.65,54.41,133194
79,14-08-2025,14:00:01:494926,596,22.63,54.6,135521
80,14-08-2025,14:00:02:930926,596,22.61,54.75,133507
81,14-08-2025,14:00:04:157926,596,22.6,54.85,135737
82,14-08-2025,14:00:05:590926,596,22.58,54.87,134347
83,14-08-2025,14:00:07:024926,596,22.56,54.9,133507
84,14-08-2025,14:00:08:457926,596,22.54,54.93,133507
85,14-08-2025,14:00:09:687926,596,22.53,54.92,136170
86,14-08-2025,14:00:11:327926,596,22.5,54.85,132573
87,14-08-2025,14:00:12:553926,596,22.5,54.88,135629
88,14-08-2025,14:00:13:989926,596,22.48,54.89,135092
89,14-08-2025,14:00:15:421926,596,22.47,54.8,134985
90,14-08-2025,14:00:16:854926,596,22.46,54.81,134347
91,14-08-2025,14:00:18:291926,596,22.44,54.79,134136
92,14-08-2025,14:00:19:722926,596,22.43,54.76,134242
93,14-08-2025,14:00:21:155926,596,22.42,54.76,135629
94,14-08-2025,14:00:22:589926,596,22.41,54.79,134665
95,14-08-2025,14:00:24:023926,596,22.39,54.75,134985
96,14-08-2025,14:00:25:457926,596,22.38,54.77,135629
97,14-08-2025,14:00:28:531926,596,22.33,55.08,119152
98,14-08-2025,14:00:32:214926,596,22.27,55.28,105916
99,14-08-2025,14:00:35:082926,596,22.22,55.75,105458
