SNO,Date,Time,MQ138,Voltage_V
1,26-09-2025,14:22:12:084285,2707,4.12
2,26-09-2025,14:22:15:981285,2749,4.12
3,26-09-2025,14:22:18:843285,2651,4.18
4,26-09-2025,14:22:21:703285,2640,4.16
5,26-09-2025,14:22:24:783284,2627,4.18
6,26-09-2025,14:22:28:263286,2607,4.17
7,26-09-2025,14:22:31:333284,2607,4.18
8,26-09-2025,14:22:34:814285,2631,4.17
9,26-09-2025,14:22:38:103284,2662,4.18
10,26-09-2025,14:22:41:182285,2635,4.17
11,26-09-2025,14:22:44:444285,2639,4.18
12,26-09-2025,14:22:47:538284,2629,4.11
13,26-09-2025,14:22:50:382285,2625,4.04
14,26-09-2025,14:22:53:664285,2631,4.07
15,26-09-2025,14:22:56:732285,2618,4.07
16,26-09-2025,14:23:00:618285,2621,4.06
17,26-09-2025,14:23:04:306285,2623,4.06
18,26-09-2025,14:23:07:186285,2614,4.07
19,26-09-2025,14:23:10:044285,2605,4.05
20,26-09-2025,14:23:13:126284,2603,4.06
21,26-09-2025,14:23:16:383285,2626,4.06
22,26-09-2025,14:23:19:256285,2600,4.02
23,26-09-2025,14:23:22:540285,2595,4.06
24,26-09-2025,14:23:25:411284,2594,4.06
25,26-09-2025,14:23:28:470285,2612,4.06
26,26-09-2025,14:23:31:540285,2593,4.06
27,26-09-2025,14:23:34:819285,2615,4.01
28,26-09-2025,14:23:37:900285,2595,4.06
29,26-09-2025,14:23:40:963285,2593,4.01
30,26-09-2025,14:23:44:240285,2614,4.02
31,26-09-2025,14:23:47:116285,2609,4.2
32,26-09-2025,14:23:50:802285,2591,4.03
33,26-09-2025,14:23:53:867285,2593,4.01
34,26-09-2025,14:23:56:942284,2589,4.03
35,26-09-2025,14:23:59:604284,2618,4.1
36,26-09-2025,14:24:02:881285,2597,4.01
37,26-09-2025,14:24:05:956284,2587,4.03
38,26-09-2025,14:24:09:020285,2594,4.09
39,26-09-2025,14:24:12:709285,2592,4.01
40,26-09-2025,14:24:15:576285,2613,4.06
41,26-09-2025,14:24:18:492285,2587,4.06
42,26-09-2025,14:24:21:720355,2590,4.08
43,26-09-2025,14:24:24:693285,2587,4.07
44,26-09-2025,14:24:27:665284,2589,4.07
45,26-09-2025,14:24:30:327284,2591,4.07
46,26-09-2025,14:24:33:596285,2590,4.03
47,26-09-2025,14:24:36:676285,2595,4.03
48,26-09-2025,14:24:39:971284,2590,4.02
49,26-09-2025,14:24:42:830284,2592,4.06
50,26-09-2025,14:24:45:686285,2593,4.02
51,26-09-2025,14:24:48:758285,2590,4.04
52,26-09-2025,14:24:52:440285,2617,4.19
53,26-09-2025,14:24:55:522285,2618,4.03
54,26-09-2025,14:24:58:823284,2594,4.08
55,26-09-2025,14:25:02:271285,2592,4.1
56,26-09-2025,14:25:04:731285,2589,4.08
57,26-09-2025,14:25:07:804285,2592,4.06
58,26-09-2025,14:25:11:285285,2598,4.05
59,26-09-2025,14:25:16:811284,2615,4.03
60,26-09-2025,14:25:19:881285,2623,4.03
61,26-09-2025,14:25:23:579284,2618,3.97
62,26-09-2025,14:25:26:436285,2613,4.06
63,26-09-2025,14:25:29:927285,2615,4.04
64,26-09-2025,14:25:33:403284,2623,4.02
65,26-09-2025,14:25:37:913285,2620,4.1
66,26-09-2025,14:25:40:881285,2595,4.03
67,26-09-2025,14:25:44:258285,2617,4.03
68,26-09-2025,14:25:47:526285,2596,4.06
69,26-09-2025,14:25:51:623285,2619,4.03
70,26-09-2025,14:25:55:105285,2616,4.01
71,26-09-2025,14:25:59:409285,2617,4.03
72,26-09-2025,14:26:02:277285,2595,4.01
73,26-09-2025,14:26:05:967284,2614,4.17
74,26-09-2025,14:26:09:243285,2624,4.04
75,26-09-2025,14:26:12:726284,2596,4.09
76,26-09-2025,14:26:16:003284,2593,4.06
77,26-09-2025,14:26:19:483285,2617,4.02
78,26-09-2025,14:26:22:959285,2618,4
79,26-09-2025,14:26:25:868284,2596,4.07
80,26-09-2025,14:26:29:513285,2618,4.02
81,26-09-2025,14:26:35:899282,2621,4
82,26-09-2025,14:26:39:363285,2592,3.93
83,26-09-2025,14:26:43:246285,2595,4.01
84,26-09-2025,14:26:49:415281,2614,3.99
85,26-09-2025,14:26:52:859285,2621,4.04
86,26-09-2025,14:26:56:357284,2615,4.02
87,26-09-2025,14:26:59:425285,2587,4.04
88,26-09-2025,14:27:02:694285,2620,4.03
89,26-09-2025,14:27:05:773285,2597,4
90,26-09-2025,14:27:09:654285,2614,4.12
91,26-09-2025,14:27:12:933285,2589,4.05
92,26-09-2025,14:27:16:224285,2592,4.01
93,26-09-2025,14:27:20:714284,2594,4.04
94,26-09-2025,14:27:25:121285,2618,4.16
95,26-09-2025,14:27:30:667311,2579,4.01
96,26-09-2025,14:27:36:293285,2591,4.01
97,26-09-2025,14:27:39:792284,2589,3.96
98,26-09-2025,14:27:43:349285,2619,4.03
99,26-09-2025,14:27:46:518285,2614,4.05
100,26-09-2025,14:27:49:587285,2592,4.01
101,26-09-2025,14:27:53:276285,2609,3.99
102,26-09-2025,14:27:56:766285,2594,4.02
103,26-09-2025,14:28:00:246285,2610,4.01
104,26-09-2025,14:28:05:160285,2609,4.02
105,26-09-2025,14:28:08:842285,2610,4.03
106,26-09-2025,14:28:12:118285,2608,4.21
107,26-09-2025,14:28:16:218285,2590,4.01
108,26-09-2025,14:28:20:107284,2591,4.03
109,26-09-2025,14:28:23:790285,2589,4.02
110,26-09-2025,14:28:27:275285,2587,4
111,26-09-2025,14:28:30:760285,2610,4
112,26-09-2025,14:28:33:850285,2611,4.03
113,26-09-2025,14:28:38:132285,2614,4.04
114,26-09-2025,14:28:41:616285,2611,4.02
115,26-09-2025,14:28:48:569284,2588,4.03
116,26-09-2025,14:28:51:852285,2615,4.03
117,26-09-2025,14:28:54:925284,2587,4.05
118,26-09-2025,14:28:58:210285,2611,4.03
119,26-09-2025,14:29:02:714285,2614,4.01
120,26-09-2025,14:29:06:388285,2591,4.03
121,26-09-2025,14:29:09:797285,2583,4.03
122,26-09-2025,14:29:13:574285,2589,4.03
123,26-09-2025,14:29:16:852284,2611,4.03
124,26-09-2025,14:29:21:546284,2609,4.01
125,26-09-2025,14:29:27:078285,2608,4.03
126,26-09-2025,14:29:31:784285,2608,4.02
127,26-09-2025,14:29:36:696285,2591,4.01
128,26-09-2025,14:29:40:179285,2611,4.01
129,26-09-2025,14:29:44:685352,2586,4.04
130,26-09-2025,14:29:50:442285,2586,4
131,26-09-2025,14:29:55:132285,2613,4.01
132,26-09-2025,14:29:59:030285,2585,4.01
133,26-09-2025,14:30:02:918284,2588,4.02
134,26-09-2025,14:30:07:032285,2609,4.01
135,26-09-2025,14:30:11:526285,2608,4.02
136,26-09-2025,14:30:15:411285,2608,4.01
137,26-09-2025,14:30:18:681285,2608,4.03
138,26-09-2025,14:30:22:167285,2609,4.17
139,26-09-2025,14:30:25:655285,2586,4.01
140,26-09-2025,14:30:28:924285,2581,4.01
141,26-09-2025,14:30:33:019284,2613,4
142,26-09-2025,14:30:37:735285,2607,4.02
143,26-09-2025,14:30:42:443285,2608,4.03
144,26-09-2025,14:30:46:235284,2608,4.03
145,26-09-2025,14:30:49:821285,2586,4.04
146,26-09-2025,14:30:53:509285,2611,4.11
147,26-09-2025,14:30:57:802285,2589,4.04
148,26-09-2025,14:31:01:600285,2605,4.04
149,26-09-2025,14:31:05:797285,2611,4.18
150,26-09-2025,14:31:09:679285,2586,4.02
151,26-09-2025,14:31:13:985285,2585,4.19
152,26-09-2025,14:31:18:075285,2602,4.01
153,26-09-2025,14:31:23:203285,2590,4.05
154,26-09-2025,14:31:26:478285,2559,4.04
155,26-09-2025,14:31:32:209285,2608,4.08
156,26-09-2025,14:31:36:097285,2605,3.99
157,26-09-2025,14:31:39:795284,2607,4.03
158,26-09-2025,14:31:43:685285,2605,4.01
159,26-09-2025,14:31:47:188285,2579,4.02
160,26-09-2025,14:31:51:053285,2603,4.03
161,26-09-2025,14:31:54:361285,2578,4.01
162,26-09-2025,14:31:58:011285,2611,4.01
163,26-09-2025,14:32:02:519284,2589,3.98
164,26-09-2025,14:32:06:615285,2608,4.02
165,26-09-2025,14:32:11:526285,2579,4
166,26-09-2025,14:32:16:238285,2603,4.04
167,26-09-2025,14:32:22:634282,2587,4.02
168,26-09-2025,14:32:26:893285,2608,4.02
169,26-09-2025,14:32:29:965285,2559,4.05
170,26-09-2025,14:32:34:262285,2583,4.02
171,26-09-2025,14:32:39:391285,2606,4.03
172,26-09-2025,14:32:44:504285,2579,4.05
173,26-09-2025,14:32:48:133451,2559,4.03
174,26-09-2025,14:32:52:390284,2607,4.02
175,26-09-2025,14:32:56:688284,2608,4.04
176,26-09-2025,14:32:59:762285,2601,4.03
177,26-09-2025,14:33:03:651285,2559,4.01
178,26-09-2025,14:33:06:930285,2605,4.03
179,26-09-2025,14:33:10:005285,2601,4.03
180,26-09-2025,14:33:13:281285,2559,4.01
181,26-09-2025,14:33:17:173285,2603,4.02
182,26-09-2025,14:33:20:654285,2559,4.02
183,26-09-2025,14:33:24:746284,2603,4
184,26-09-2025,14:33:28:034285,2599,4.04
185,26-09-2025,14:33:31:103284,2559,4.01
186,26-09-2025,14:33:35:394284,2606,4.03
187,26-09-2025,14:33:38:474285,2602,4.03
188,26-09-2025,14:33:41:745284,2559,4.06
189,26-09-2025,14:33:45:228285,2559,4.06
190,26-09-2025,14:33:49:120285,2602,4.01
191,26-09-2025,14:33:53:630450,2559,4.01
192,26-09-2025,14:33:57:524285,2559,4.03
193,26-09-2025,14:34:01:210285,2605,4.02
194,26-09-2025,14:34:05:304285,2559,4.01
195,26-09-2025,14:34:08:590285,2559,4.03
196,26-09-2025,14:34:11:648285,2559,4.01
197,26-09-2025,14:34:14:926285,2559,4.01
198,26-09-2025,14:34:17:792285,2559,4.04
199,26-09-2025,14:34:21:284285,2580,4.16
200,26-09-2025,14:34:25:882284,2559,4.11
201,26-09-2025,14:34:31:469285,2594,4.03
202,26-09-2025,14:34:35:410284,2559,4.01
203,26-09-2025,14:34:38:886285,2559,4.01
204,26-09-2025,14:34:42:378285,2463,4.03
205,26-09-2025,14:34:45:748285,2463,4.03
206,26-09-2025,14:34:55:110281,2481,4.01
207,26-09-2025,14:34:58:751285,2490,4.01
208,26-09-2025,14:35:02:644285,2499,4.06
209,26-09-2025,14:35:06:325285,2507,4.04
210,26-09-2025,14:35:09:401285,2507,4.01
211,26-09-2025,14:35:12:677285,2510,4.04
