SNO,Date,Time,SGP40,Voltage_V
1,25-09-2025,10:03:11:933689,30196,2.69
2,25-09-2025,10:03:14:908685,29540,2.67
3,25-09-2025,10:03:18:280687,30198,2.67
4,25-09-2025,10:03:24:620685,30649,2.67
5,25-09-2025,10:03:29:744718,30720,2.68
6,25-09-2025,10:03:41:146653,31033,2.67
7,25-09-2025,10:03:51:453688,31062,2.68
8,25-09-2025,10:03:54:113797,31085,2.68
9,25-09-2025,10:03:57:384708,31097,2.65
10,25-09-2025,10:04:00:460686,31097,2.69
11,25-09-2025,10:04:04:560820,31102,2.68
12,25-09-2025,10:04:10:507687,31111,2.66
13,25-09-2025,10:04:13:772687,31110,2.67
14,25-09-2025,10:04:16:839687,31111,2.67
15,25-09-2025,10:04:21:359753,31119,2.66
16,25-09-2025,10:04:24:241687,31127,2.66
17,25-09-2025,10:04:27:699687,31130,2.66
18,25-09-2025,10:04:30:721689,31130,2.68
19,25-09-2025,10:04:33:339687,31136,2.66
20,25-09-2025,10:04:36:512686,31140,2.68
21,25-09-2025,10:04:40:028648,31130,2.67
22,25-09-2025,10:04:43:287687,31125,2.66
23,25-09-2025,10:04:50:303687,31115,2.66
24,25-09-2025,10:05:03:874687,31123,2.67
25,25-09-2025,10:05:06:825687,31135,2.69
26,25-09-2025,10:05:10:722687,31130,2.68
27,25-09-2025,10:05:14:802687,31132,2.68
28,25-09-2025,10:05:18:906687,31138,2.68
29,25-09-2025,10:05:23:512687,31138,2.68
30,25-09-2025,10:05:26:329686,31138,2.68
31,25-09-2025,10:05:32:629687,31135,2.67
32,25-09-2025,10:05:35:909692,31133,2.68
33,25-09-2025,10:05:38:671687,31126,2.67
34,25-09-2025,10:05:44:336648,31121,2.67
35,25-09-2025,10:05:47:675688,31120,2.68
36,25-09-2025,10:05:50:437684,31123,2.67
37,25-09-2025,10:05:55:570685,31128,2.66
38,25-09-2025,10:05:58:835799,31131,2.66
39,25-09-2025,10:06:02:222686,31137,2.66
40,25-09-2025,10:06:05:803714,31143,2.68
41,25-09-2025,10:06:09:694777,31150,2.68
42,25-09-2025,10:06:15:439687,31162,2.68
43,25-09-2025,10:06:18:501823,31180,2.69
44,25-09-2025,10:06:21:778687,31195,2.68
45,25-09-2025,10:06:25:252687,31209,2.67
46,25-09-2025,10:06:32:808687,31214,2.67
47,25-09-2025,10:06:36:218687,31226,2.69
48,25-09-2025,10:06:39:594687,31233,2.67
49,25-09-2025,10:06:42:897648,31247,2.67
50,25-09-2025,10:06:48:065685,31255,2.69
51,25-09-2025,10:06:51:067687,31252,2.66
52,25-09-2025,10:06:55:359764,31261,2.68
53,25-09-2025,10:06:58:450687,31268,2.67
54,25-09-2025,10:07:04:694687,31268,2.67
55,25-09-2025,10:07:08:877687,31273,2.68
56,25-09-2025,10:07:12:891687,31285,2.68
57,25-09-2025,10:07:16:392687,31286,2.67
58,25-09-2025,10:07:23:245687,31291,2.67
59,25-09-2025,10:07:27:146687,31285,2.66
60,25-09-2025,10:07:33:874686,31273,2.67
61,25-09-2025,10:07:43:234648,31245,2.67
62,25-09-2025,10:07:48:207757,31239,2.68
63,25-09-2025,10:07:54:311685,31231,2.67
64,25-09-2025,10:07:57:829780,31228,2.67
65,25-09-2025,10:08:01:331687,31229,2.67
66,25-09-2025,10:08:04:390704,31236,2.68
67,25-09-2025,10:08:08:271687,31236,2.66
68,25-09-2025,10:08:11:559687,31235,2.67
69,25-09-2025,10:08:14:775687,31230,2.67
70,25-09-2025,10:08:18:437686,31230,2.67
71,25-09-2025,10:08:20:969687,31228,2.68
72,25-09-2025,10:08:30:874685,31233,2.66
73,25-09-2025,10:08:37:483687,31231,2.66
74,25-09-2025,10:08:40:875648,31228,2.66
