SNO,Date,Time,SPEC,Voltage_V
1,26-09-2025,14:48:20:129489,1.011,2.59
2,26-09-2025,14:48:21:165312,1.720,2.58
3,26-09-2025,14:48:22:196539,1.535,2.58
4,26-09-2025,14:48:23:230321,1.174,2.59
5,26-09-2025,14:48:24:264301,2.260,2.58
6,26-09-2025,14:48:25:298304,1.468,2.59
7,26-09-2025,14:48:26:329304,1.741,2.59
8,26-09-2025,14:48:27:358300,1.130,2.58
9,26-09-2025,14:48:28:410828,1.893,2.59
10,26-09-2025,14:48:29:445422,1.979,2.61
11,26-09-2025,14:48:30:477302,1.061,2.59
12,26-09-2025,14:48:31:509301,2.194,2.59
13,26-09-2025,14:48:32:543302,1.237,2.58
14,26-09-2025,14:48:33:574281,1.992,2.58
15,26-09-2025,14:48:34:607305,1.630,2.59
16,26-09-2025,14:48:35:661306,1.121,2.59
17,26-09-2025,14:48:36:692305,2.020,2.58
18,26-09-2025,14:48:37:724300,0.968,2.59
19,26-09-2025,14:48:38:755305,2.161,2.59
20,26-09-2025,14:48:39:786282,0.967,2.59
21,26-09-2025,14:48:40:817305,2.156,2.57
22,26-09-2025,14:48:41:846298,1.188,2.59
23,26-09-2025,14:48:42:877281,1.970,2.59
24,26-09-2025,14:48:43:908306,1.168,2.58
25,26-09-2025,14:48:44:942417,2.251,2.59
26,26-09-2025,14:48:45:974305,1.066,2.59
27,26-09-2025,14:48:47:005280,2.198,2.58
28,26-09-2025,14:48:48:038305,1.466,2.59
29,26-09-2025,14:48:49:071485,1.390,2.57
30,26-09-2025,14:48:50:103300,1.910,2.58
31,26-09-2025,14:48:51:134280,1.222,2.58
32,26-09-2025,14:48:52:165305,1.945,2.59
33,26-09-2025,14:48:53:196278,1.199,2.58
34,26-09-2025,14:48:54:227280,1.962,2.58
35,26-09-2025,14:48:55:260303,0.944,2.58
36,26-09-2025,14:48:56:292299,2.248,2.58
37,26-09-2025,14:48:57:324352,1.040,2.57
38,26-09-2025,14:48:58:355305,2.196,2.59
39,26-09-2025,14:48:59:386278,1.091,2.59
40,26-09-2025,14:49:00:417401,2.149,2.62
41,26-09-2025,14:49:01:453301,1.926,2.59
42,26-09-2025,14:49:02:489824,1.177,2.59
43,26-09-2025,14:49:03:524300,1.321,2.58
44,26-09-2025,14:49:04:558321,2.199,2.59
45,26-09-2025,14:49:05:592300,1.275,2.59
46,26-09-2025,14:49:06:623305,1.953,2.58
47,26-09-2025,14:49:07:654326,1.334,2.59
48,26-09-2025,14:49:08:685281,1.870,2.58
49,26-09-2025,14:49:09:718303,1.716,2.58
50,26-09-2025,14:49:10:770425,1.264,2.60
51,26-09-2025,14:49:11:802301,2.025,2.59
52,26-09-2025,14:49:12:833355,1.045,2.58
53,26-09-2025,14:49:13:894367,1.019,2.59
