SNO,Date,Time,ADC,Temp_C,Humidity_pct,VOC,Phase,Voltage_V
1,23-09-2025,13:16:58:917836,31873,21.29,46.61,p-cresol,Pre_Puff,2.67
2,23-09-2025,13:17:02:702836,31877,21.29,46.73,p-cresol,Pre_Puff,2.69
3,23-09-2025,13:17:04:340836,31880,21.27,46.79,p-cresol,Pre_Puff,2.67
4,23-09-2025,13:17:05:364836,31880,21.28,46.85,p-cresol,Pre_Puff,2.66
5,23-09-2025,13:17:06:799836,31883,21.29,46.87,p-cresol,Pre_Puff,2.69
6,23-09-2025,13:17:07:822836,31883,21.29,46.84,p-cresol,Pre_Puff,2.67
7,23-09-2025,13:17:09:058836,31893,21.29,46.78,p-cresol,Pre_Puff,2.69
8,23-09-2025,13:17:10:485836,31893,21.28,46.76,p-cresol,Pre_Puff,2.67
9,23-09-2025,13:17:11:509836,31898,21.29,46.80,p-cresol,Pre_Puff,2.68
10,23-09-2025,13:17:12:534836,31900,21.29,46.88,p-cresol,Pre_Puff,2.68
11,23-09-2025,13:17:13:560836,31903,21.28,47.03,p-cresol,Pre_Puff,2.70
12,23-09-2025,13:17:14:581836,31906,21.25,47.36,p-cresol,Pre_Puff,2.69
13,23-09-2025,13:17:18:271836,31904,21.24,47.64,p-cresol,Pre_Puff,2.69
14,23-09-2025,13:17:19:291836,31904,21.24,47.86,p-cresol,Pre_Puff,2.68
15,23-09-2025,13:17:20:528836,31905,21.23,48.03,p-cresol,Pre_Puff,2.68
16,23-09-2025,13:17:21:550836,31906,21.23,48.22,p-cresol,Pre_Puff,2.69
17,23-09-2025,13:17:22:571836,31906,21.21,48.52,p-cresol,Pre_Puff,2.67
18,23-09-2025,13:17:23:592836,31901,21.20,48.79,p-cresol,Pre_Puff,2.67
19,23-09-2025,13:17:24:617836,31895,21.17,49.15,p-cresol,Pre_Puff,2.67
20,23-09-2025,13:17:25:640836,31890,21.16,49.36,p-cresol,Pre_Puff,2.67
21,23-09-2025,13:17:26:664836,31885,21.14,49.58,p-cresol,Pre_Puff,2.66
22,23-09-2025,13:17:27:688836,31885,21.12,49.85,p-cresol,Pre_Puff,2.64
23,23-09-2025,13:17:28:713836,31884,21.13,50.07,p-cresol,Pre_Puff,2.68
24,23-09-2025,13:17:29:737836,31883,21.14,50.24,p-cresol,Pre_Puff,2.67
25,23-09-2025,13:17:30:760836,31883,21.15,50.33,p-cresol,Pre_Puff,2.68
26,23-09-2025,13:17:31:784836,31880,21.17,50.38,p-cresol,Pre_Puff,2.67
27,23-09-2025,13:17:32:809836,31880,21.17,50.42,p-cresol,Pre_Puff,2.69
28,23-09-2025,13:17:33:832836,31875,21.18,50.43,p-cresol,Pre_Puff,2.68
29,23-09-2025,13:17:34:858836,31873,21.19,50.45,p-cresol,Pre_Puff,2.67
30,23-09-2025,13:17:35:881836,31868,21.20,50.49,p-cresol,Pre_Puff,2.67
31,23-09-2025,13:17:36:904836,31868,21.23,50.57,p-cresol,Pre_Puff,2.66
32,23-09-2025,13:17:37:930836,31867,21.25,50.71,p-cresol,Pre_Puff,2.66
33,23-09-2025,13:17:38:954836,31865,21.28,50.89,p-cresol,Pre_Puff,2.69
34,23-09-2025,13:17:39:978836,31862,21.29,51.08,p-cresol,Pre_Puff,2.67
35,23-09-2025,13:17:41:002836,31859,21.29,51.23,p-cresol,Pre_Puff,2.68
36,23-09-2025,13:17:42:027836,31857,21.30,51.30,p-cresol,Pre_Puff,2.69
37,23-09-2025,13:17:43:665836,31860,21.31,51.34,p-cresol,Pre_Puff,2.67
38,23-09-2025,13:17:44:689836,31854,21.32,51.37,p-cresol,Pre_Puff,2.68
39,23-09-2025,13:17:47:146863,31847,21.31,51.49,p-cresol,Pre_Puff,2.67
40,23-09-2025,13:17:48:168836,31841,21.32,51.57,p-cresol,Pre_Puff,2.67
41,23-09-2025,13:17:49:194836,31841,21.33,51.60,p-cresol,Pre_Puff,2.68
42,23-09-2025,13:17:50:223836,31836,21.35,51.65,p-cresol,Pre_Puff,2.69
43,23-09-2025,13:17:51:243836,31836,21.36,51.71,p-cresol,Pre_Puff,2.68
44,23-09-2025,13:17:52:318836,31838,21.39,51.79,p-cresol,Pre_Puff,2.69
45,23-09-2025,13:17:53:495836,31836,21.40,51.84,p-cresol,Pre_Puff,2.68
46,23-09-2025,13:17:54:520836,31834,21.41,51.88,p-cresol,Pre_Puff,2.69
47,23-09-2025,13:17:55:748836,31833,21.43,51.93,p-cresol,Pre_Puff,2.69
48,23-09-2025,13:17:56:778836,31831,21.44,51.98,p-cresol,Pre_Puff,2.68
49,23-09-2025,13:17:58:208836,31831,21.45,52.01,p-cresol,Pre_Puff,2.69
50,23-09-2025,13:17:59:230836,31831,21.44,52.11,p-cresol,Pre_Puff,2.67
51,23-09-2025,13:18:00:256836,31828,21.47,52.25,p-cresol,Pre_Puff,2.68
52,23-09-2025,13:18:01:282836,31823,21.47,52.32,p-cresol,Pre_Puff,2.71
53,23-09-2025,13:18:02:305836,31821,21.49,52.32,p-cresol,Pre_Puff,2.68
54,23-09-2025,13:18:03:328836,31821,21.50,52.26,p-cresol,Pre_Puff,2.68
55,23-09-2025,13:18:04:352836,31821,21.51,52.18,p-cresol,Pre_Puff,2.68
56,23-09-2025,13:18:05:577836,31823,21.49,52.02,p-cresol,Pre_Puff,2.68
57,23-09-2025,13:18:06:809836,31826,21.51,51.90,p-cresol,Pre_Puff,2.68
58,23-09-2025,13:18:07:833836,31823,21.53,51.73,p-cresol,Pre_Puff,2.68
59,23-09-2025,13:18:09:063836,31822,21.55,51.59,p-cresol,Pre_Puff,2.69
60,23-09-2025,13:18:10:084836,31826,21.57,51.46,p-cresol,Pre_Puff,2.67
61,23-09-2025,13:18:11:321836,31825,21.59,51.31,p-cresol,Pre_Puff,2.68
62,23-09-2025,13:18:12:546836,31825,21.59,51.22,p-cresol,Pre_Puff,2.68
63,23-09-2025,13:18:13:569836,31823,21.61,51.15,p-cresol,Pre_Puff,2.68
64,23-09-2025,13:18:14:592836,31821,21.63,51.02,p-cresol,Pre_Puff,2.68
65,23-09-2025,13:18:15:618836,31816,21.63,50.82,p-cresol,Pre_Puff,2.66
66,23-09-2025,13:18:16:639836,31815,21.65,50.66,p-cresol,Pre_Puff,2.67
67,23-09-2025,13:18:17:664836,31810,21.67,50.45,p-cresol,Pre_Puff,2.66
68,23-09-2025,13:18:18:890836,31806,21.66,50.20,p-cresol,Pre_Puff,2.66
69,23-09-2025,13:18:19:922836,31802,21.68,50.19,p-cresol,Pre_Puff,2.67
70,23-09-2025,13:18:21:145836,31801,21.70,50.20,p-cresol,Pre_Puff,2.66
