SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME_Temp,BME_Hum,BME_HeaterRes,Alpha_PID,SPEC,SGP40_VOC,VOC,Concentration,Distance
1,01-08-2025,10:38:03:752359,Pre-Puff,322,80.39,78.71,28.95,68.36,30338,0.37,559.86,29897,Ammonia,1ml,6
2,01-08-2025,10:38:06:958493,Pre-Puff,322,80.4,80.24,28.94,68.3,31000,0.24,630.33,29899,Ammonia,1ml,6
3,01-08-2025,10:38:08:700489,Pre-Puff,322,74.78,78.23,28.95,68.19,32048,0.27,554.87,29901,Ammonia,1ml,6
4,01-08-2025,10:38:10:651491,Pre-Puff,322,78.46,80.81,28.95,68.07,32561,0.24,582.57,29902,Ammonia,1ml,6
5,01-08-2025,10:38:12:299488,Pre-Puff,322,80.76,80.5,28.96,67.97,33169,0.43,568.33,29902,Ammonia,1ml,6
6,01-08-2025,10:38:13:918492,Pre-Puff,322,78.55,80.6,28.97,67.92,33853,0.22,613.53,29898,Ammonia,1ml,6
7,01-08-2025,10:38:15:350488,Pre-Puff,322,79.92,80.33,28.98,67.82,34454,0.4,594.1,29902,Ammonia,1ml,6
8,01-08-2025,10:38:17:606491,Pre-Puff,322,80.88,80.87,28.97,67.85,34399,0.47,618.21,29904,Ammonia,1ml,6
9,01-08-2025,10:38:19:452489,Pre-Puff,322,74.62,76.15,28.96,67.86,34482,0.44,634.93,29904,Ammonia,1ml,6
10,01-08-2025,10:38:21:498491,Pre-Puff,322,78.61,80.11,28.96,67.88,34650,0.34,583.81,29904,Ammonia,1ml,6
11,01-08-2025,10:38:23:343488,Pre-Puff,322,80.96,80.67,28.96,67.87,34820,0.38,552.42,29905,Ammonia,1ml,6
12,01-08-2025,10:38:25:593492,Pre-Puff,322,79.72,80.37,28.95,67.9,34820,0.39,559.51,29908,Ammonia,1ml,6
13,01-08-2025,10:38:26:923488,Pre-Puff,322,80.63,80.88,28.96,67.86,35457,0.25,584.76,29908,Ammonia,1ml,6
14,01-08-2025,10:38:28:255491,Pre-Puff,322,79.51,80.63,28.98,67.79,36425,0.33,566.79,29908,Ammonia,1ml,6
15,01-08-2025,10:38:29:897489,Pre-Puff,322,79.48,80.96,28.98,67.73,36488,0.46,560.02,29905,Ammonia,1ml,6
16,01-08-2025,10:38:31:126490,Pre-Puff,322,78.34,80.12,29,67.69,37220,0.23,593.42,29906,Ammonia,1ml,6
17,01-08-2025,10:38:34:205488,Pre-Puff,322,80.97,80.62,28.97,67.9,35934,0.45,609.79,29909,Ammonia,1ml,6
18,01-08-2025,10:38:35:934492,Pre-Puff,322,78.86,80.45,28.96,67.9,36394,0.35,554.27,29913,Ammonia,1ml,6
19,01-08-2025,10:38:37:680488,Pre-Puff,322,78.45,80.89,28.96,67.88,36519,0.27,563.73,29911,Ammonia,1ml,6
20,01-08-2025,10:38:39:317491,Pre-Puff,322,79.7,81.14,28.96,67.84,36898,0.31,553.08,29913,Ammonia,1ml,6
21,01-08-2025,10:38:42:292490,Pre-Puff,322,75.42,77.98,28.94,67.99,35784,0.45,597.61,29917,Ammonia,1ml,6
22,01-08-2025,10:38:44:846491,Pre-Puff,322,80.96,80.82,28.93,68.08,35222,0.31,649.31,29912,Ammonia,1ml,6
23,01-08-2025,10:38:46:791488,Pre-Puff,322,79.11,80.18,28.92,68.06,35575,0.35,565.41,29910,Ammonia,1ml,6
24,01-08-2025,10:38:48:943492,Pre-Puff,322,74.21,80.49,28.91,68.04,35634,0.23,614.42,29912,Ammonia,1ml,6
25,01-08-2025,10:38:51:094488,Pre-Puff,322,80.77,80.29,28.91,68.05,35516,0.26,631.85,29916,Ammonia,1ml,6
26,01-08-2025,10:38:52:835491,Pre-Puff,322,79.56,80.48,28.91,68.01,35814,0.48,594.72,29913,Ammonia,1ml,6
27,01-08-2025,10:38:54:472489,Pre-Puff,322,75.2,78.83,28.92,67.96,36209,0.47,572.5,29917,Ammonia,1ml,6
28,01-08-2025,10:38:55:904490,Pre-Puff,322,80.33,80.96,28.93,67.89,36866,0.22,571.01,29918,Ammonia,1ml,6
29,01-08-2025,10:38:57:648488,Pre-Puff,322,79.93,80.26,28.93,67.86,37026,0.23,628.7,29917,Ammonia,1ml,6
30,01-08-2025,10:38:59:695492,Pre-Puff,322,74.71,75.75,28.93,67.91,37058,0.36,587.6,29918,Ammonia,1ml,6
31,01-08-2025,10:39:01:950488,Pre-Puff,322,74.11,78.73,28.92,67.99,36898,0.44,617.67,29918,Ammonia,1ml,6
32,01-08-2025,10:39:03:687491,Pre-Puff,322,79.73,80.34,28.91,67.97,37090,0.28,551.44,29914,Ammonia,1ml,6
33,01-08-2025,10:39:05:178489,Pre-Puff,322,74.96,77.88,28.92,67.93,37481,0.47,627.05,29914,Ammonia,1ml,6
34,01-08-2025,10:39:06:782490,Pre-Puff,322,80.81,81.6,28.92,67.9,37713,0.23,574.76,29918,Ammonia,1ml,6
35,01-08-2025,10:39:08:405488,Pre-Puff,322,80.45,81.72,28.93,67.88,37982,0.36,644.99,29915,Ammonia,1ml,6
36,01-08-2025,10:39:10:141492,Pre-Puff,322,79.17,80.35,28.92,67.88,38117,0.36,595.68,29913,Ammonia,1ml,6
37,01-08-2025,10:39:12:294488,Pre-Puff,322,80.17,80.45,28.91,67.95,38049,0.32,613.31,29916,Ammonia,1ml,6
38,01-08-2025,10:39:14:032491,Pre-Puff,322,79.73,81.24,28.91,67.94,38083,0.38,608.44,29915,Ammonia,1ml,6
39,01-08-2025,10:39:15:773489,Pre-Puff,322,78.76,80.99,28.91,67.95,38152,0.37,593.28,29916,Ammonia,1ml,6
40,01-08-2025,10:39:17:514490,Pre-Puff,322,79.18,80.32,28.9,67.93,38220,0.29,616.81,29919,Ammonia,1ml,6
41,01-08-2025,10:39:19:358488,Pre-Puff,322,79.82,80.5,28.9,67.94,38186,0.41,575.44,29918,Ammonia,1ml,6
42,01-08-2025,10:39:20:896492,Pre-Puff,322,79.2,82.53,28.9,67.94,38776,0.26,564.98,29915,Ammonia,1ml,6
43,01-08-2025,10:39:22:534488,Pre-Puff,322,80.25,80.76,28.9,67.91,38846,0.25,626.41,29918,Ammonia,1ml,6
44,01-08-2025,10:39:24:276491,Pre-Puff,322,80.43,80.89,28.9,67.92,38917,0.39,550.68,29916,Ammonia,1ml,6
45,01-08-2025,10:39:26:013489,Pre-Puff,322,79.43,80.49,28.9,67.93,39024,0.49,590.15,29918,Ammonia,1ml,6
46,01-08-2025,10:39:38:305494,Pre-Puff,322,80.44,81.97,28.85,68.99,32217,0.5,555.77,29924,Ammonia,1ml,6
47,01-08-2025,10:39:40:147488,Pre-Puff,322,80.57,83.8,28.84,68.79,32761,0.5,627,29923,Ammonia,1ml,6
48,01-08-2025,10:39:42:003491,Pre-Puff,322,80.73,80.17,28.83,68.61,33350,0.24,600.46,29918,Ammonia,1ml,6
49,01-08-2025,10:39:43:597489,Pre-Puff,322,74.56,75.36,28.83,68.46,34124,0.25,638.69,29918,Ammonia,1ml,6
50,01-08-2025,10:39:46:288490,Pre-Puff,322,80.2,81.32,28.81,68.48,33826,0.28,607.82,29920,Ammonia,1ml,6
51,01-08-2025,10:39:48:134488,Pre-Puff,322,80.19,80.54,28.81,68.41,34371,0.46,600.31,29921,Ammonia,1ml,6
52,01-08-2025,10:39:49:780492,Pre-Puff,322,80.4,81.25,28.81,68.33,34963,0.27,601.18,29920,Ammonia,1ml,6
53,01-08-2025,10:39:51:616488,Pre-Puff,322,79.12,81.96,28.81,68.3,35339,0.45,594.11,29923,Ammonia,1ml,6
