SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME_Temp,BME_Hum,BME_HeaterRes,Alpha_PID,SPEC,SGP40_VOC,VOC,Concentration,Distance
1,04-08-2025,10:48:39:000,Pre-Puff,322,72.82,66.48,30.92,64.57,43434,0.05,29.11,30944,p-Cresol,1ml,6
2,04-08-2025,10:48:44:000,Pre-Puff,322,73.90,82.79,30.92,64.53,38186,0.05,22.47,30950,p-Cresol,1ml,6
3,04-08-2025,10:49:12:000,Pre-Puff,322,80.73,80.19,30.73,66.15,24859,0.05,26.95,65535,p-Cresol,1ml,6
4,04-08-2025,10:49:15:000,Pre-Puff,322,83.48,81.45,30.73,66.09,24772,0.04,30.76,29760,p-Cresol,1ml,6
5,04-08-2025,10:49:17:000,Pre-Puff,322,83.36,83.38,30.74,65.91,25107,0.05,26.98,30012,p-Cresol,1ml,6
6,04-08-2025,10:49:19:000,Pre-Puff,322,81.40,83.61,30.76,65.75,25513,0.05,21.52,30078,p-Cresol,1ml,6
7,04-08-2025,10:49:21:000,Pre-Puff,322,80.41,81.14,30.77,65.64,26042,0.05,23.99,30162,p-Cresol,1ml,6
8,04-08-2025,10:49:23:000,Pre-Puff,322,81.12,82.30,30.78,65.60,26397,0.04,22.86,30245,p-Cresol,1ml,6
9,04-08-2025,10:49:25:000,Pre-Puff,322,81.84,82.35,30.79,65.56,26811,0.04,22.19,30314,p-Cresol,1ml,6
10,04-08-2025,10:49:26:000,Pre-Puff,322,81.42,83.53,30.80,65.49,27414,0.05,20.29,30371,p-Cresol,1ml,6
11,04-08-2025,10:49:28:000,Pre-Puff,322,82.67,84.53,30.81,65.45,27990,0.06,30.35,30417,p-Cresol,1ml,6
12,04-08-2025,10:49:29:000,Pre-Puff,322,81.70,82.92,30.82,65.39,28609,0.05,22.76,30457,p-Cresol,1ml,6
13,04-08-2025,10:49:30:000,Pre-Puff,322,82.40,82.18,30.85,65.34,29418,0.05,22.67,30487,p-Cresol,1ml,6
14,04-08-2025,10:49:32:000,Pre-Puff,322,83.13,81.79,30.85,65.30,29788,0.05,26.77,30510,p-Cresol,1ml,6
15,04-08-2025,10:49:34:000,Pre-Puff,322,84.45,84.42,30.85,65.32,30103,0.05,23.21,30531,p-Cresol,1ml,6
16,04-08-2025,10:49:36:000,Pre-Puff,322,80.34,80.87,30.84,65.36,30039,0.05,28.00,30551,p-Cresol,1ml,6
17,04-08-2025,10:49:37:000,Pre-Puff,322,85.67,83.46,30.84,65.38,30403,0.05,24.40,30573,p-Cresol,1ml,6
18,04-08-2025,10:49:39:000,Pre-Puff,322,83.26,84.33,30.84,65.34,30955,0.06,26.43,30588,p-Cresol,1ml,6
19,04-08-2025,10:49:40:000,Pre-Puff,322,82.14,83.15,30.84,65.33,31135,0.05,19.96,30606,p-Cresol,1ml,6
20,04-08-2025,10:49:42:000,Pre-Puff,322,82.15,83.66,30.83,65.36,31272,0.05,28.91,30613,p-Cresol,1ml,6
21,04-08-2025,10:49:44:000,Pre-Puff,322,82.85,81.92,30.83,65.35,31434,0.06,23.30,30626,p-Cresol,1ml,6
22,04-08-2025,10:49:46:000,Pre-Puff,322,83.72,85.31,30.82,65.37,31620,0.04,30.51,30636,p-Cresol,1ml,6
23,04-08-2025,10:49:47:000,Pre-Puff,322,83.81,82.26,30.82,65.36,31880,0.04,30.78,30645,p-Cresol,1ml,6
24,04-08-2025,10:49:49:000,Pre-Puff,322,84.92,83.63,30.82,65.37,31928,0.05,25.07,30652,p-Cresol,1ml,6
25,04-08-2025,10:49:51:000,Pre-Puff,322,82.47,85.81,30.82,65.37,32193,0.05,27.73,30658,p-Cresol,1ml,6
26,04-08-2025,10:49:52:000,Pre-Puff,322,82.78,85.20,30.82,65.35,32512,0.06,25.57,30666,p-Cresol,1ml,6
27,04-08-2025,10:49:54:000,Pre-Puff,322,82.69,83.12,30.82,65.35,32561,0.06,26.72,30671,p-Cresol,1ml,6
28,04-08-2025,10:49:56:000,Pre-Puff,322,82.24,83.73,30.81,65.37,32536,0.05,26.62,30676,p-Cresol,1ml,6
29,04-08-2025,10:49:58:000,Pre-Puff,322,84.75,86.34,30.81,65.38,32636,0.05,25.69,30674,p-Cresol,1ml,6
30,04-08-2025,10:49:59:000,Pre-Puff,322,82.22,84.58,30.81,65.41,32761,0.06,19.84,30675,p-Cresol,1ml,6
31,04-08-2025,10:50:01:000,Pre-Puff,322,82.17,83.72,30.81,65.40,32761,0.04,22.18,30684,p-Cresol,1ml,6
32,04-08-2025,10:50:03:000,Pre-Puff,322,83.23,82.17,30.81,65.39,33015,0.05,25.61,30681,p-Cresol,1ml,6
33,04-08-2025,10:50:05:000,Pre-Puff,322,83.86,86.65,30.80,65.42,32887,0.04,29.69,30681,p-Cresol,1ml,6
34,04-08-2025,10:50:06:000,Pre-Puff,322,82.86,83.47,30.80,65.41,32887,0.06,19.13,30682,p-Cresol,1ml,6
35,04-08-2025,10:50:08:000,Pre-Puff,322,83.85,83.69,30.80,65.42,33246,0.04,25.85,30682,p-Cresol,1ml,6
36,04-08-2025,10:50:10:000,Pre-Puff,322,83.63,85.91,30.80,65.45,33169,0.06,24.06,30684,p-Cresol,1ml,6
37,04-08-2025,10:50:11:000,Pre-Puff,322,83.83,83.97,30.80,65.44,33324,0.05,21.37,30689,p-Cresol,1ml,6
38,04-08-2025,10:50:15:000,Pre-Puff,322,85.44,85.42,30.77,65.77,31928,0.05,28.18,30694,p-Cresol,1ml,6
39,04-08-2025,10:50:17:000,Pre-Puff,322,86.94,85.17,30.77,65.73,31952,0.05,19.70,30695,p-Cresol,1ml,6
40,04-08-2025,10:50:19:000,Pre-Puff,322,84.15,83.78,30.77,65.67,32096,0.05,28.80,30699,p-Cresol,1ml,6
41,04-08-2025,10:50:20:000,Pre-Puff,322,84.88,86.94,30.77,65.59,32217,0.04,30.42,30704,p-Cresol,1ml,6
42,04-08-2025,10:50:22:000,Pre-Puff,322,86.13,85.97,30.77,65.57,32388,0.05,24.39,30702,p-Cresol,1ml,6
43,04-08-2025,10:50:24:000,Pre-Puff,322,85.70,86.39,30.77,65.52,32611,0.05,20.07,30699,p-Cresol,1ml,6
44,04-08-2025,10:50:25:000,Pre-Puff,322,86.70,87.33,30.78,65.50,32661,0.06,19.48,30695,p-Cresol,1ml,6
45,04-08-2025,10:50:29:000,Pre-Puff,322,80.33,80.91,30.76,65.71,31832,0.04,29.84,30697,p-Cresol,1ml,6
46,04-08-2025,10:50:30:000,Pre-Puff,322,85.37,83.55,30.76,65.69,32048,0.04,20.49,30700,p-Cresol,1ml,6
47,04-08-2025,10:50:32:000,Pre-Puff,322,83.80,83.78,30.76,65.63,32462,0.05,19.62,30702,p-Cresol,1ml,6
48,04-08-2025,10:50:33:000,Pre-Puff,322,83.52,85.20,30.78,65.55,32913,0.04,24.72,30704,p-Cresol,1ml,6
49,04-08-2025,10:50:35:000,Pre-Puff,322,85.42,83.39,30.78,65.48,33143,0.05,27.10,30699,p-Cresol,1ml,6
50,04-08-2025,10:50:36:000,Pre-Puff,322,85.80,86.41,30.78,65.48,33117,0.04,30.73,30703,p-Cresol,1ml,6
51,04-08-2025,10:50:38:000,Pre-Puff,322,83.23,86.37,30.78,65.48,33220,0.06,26.17,30704,p-Cresol,1ml,6
52,04-08-2025,10:50:40:000,Pre-Puff,322,87.84,87.45,30.77,65.53,33298,0.05,19.69,30706,p-Cresol,1ml,6
53,04-08-2025,10:50:41:000,Pre-Puff,322,85.26,87.91,30.77,65.52,33402,0.04,24.21,30704,p-Cresol,1ml,6
54,04-08-2025,10:50:43:000,Pre-Puff,322,80.83,82.39,30.76,65.54,33376,0.05,24.41,30704,p-Cresol,1ml,6
55,04-08-2025,10:50:45:000,Pre-Puff,322,87.98,83.47,30.76,65.54,33455,0.05,23.22,30706,p-Cresol,1ml,6
