SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME_Temp,BME_Hum,BME_HeaterRes,Alpha_PID,SPEC,SGP40_VOC,VOC,Concentration,Distance
1,05-08-2025,10:34:03:094858,Pre-Puff,322,80.90,80.16,30.36,70.04,12711,0.060,0.020,29647,p-Cresol,1ml,6
2,05-08-2025,10:34:04:415464,Pre-Puff,322,81.41,82.64,30.35,69.75,14209,0.058,0.019,29646,p-Cresol,1ml,6
3,05-08-2025,10:34:06:261464,Pre-Puff,322,80.45,84.67,30.34,69.44,15322,0.059,0.023,29651,p-Cresol,1ml,6
4,05-08-2025,10:34:07:704464,Pre-Puff,322,80.57,81.54,30.35,69.25,16393,0.054,0.019,29658,p-Cresol,1ml,6
5,05-08-2025,10:34:09:332464,Pre-Puff,322,81.95,84.12,30.35,69.09,17062,0.047,0.017,29665,p-Cresol,1ml,6
6,05-08-2025,10:34:10:969463,Pre-Puff,322,83.52,83.66,30.35,68.97,17892,0.044,0.016,29673,p-Cresol,1ml,6
7,05-08-2025,10:34:12:405465,Pre-Puff,322,82.40,83.42,30.36,68.88,18610,0.050,0.017,29676,p-Cresol,1ml,6
8,05-08-2025,10:34:14:066463,Pre-Puff,322,80.76,82.51,30.35,68.81,19300,0.054,0.022,29686,p-Cresol,1ml,6
9,05-08-2025,10:34:15:690464,Pre-Puff,322,81.12,81.63,30.35,68.74,20025,0.052,0.019,29693,p-Cresol,1ml,6
10,05-08-2025,10:34:17:527463,Pre-Puff,322,80.41,80.83,30.35,68.74,20565,0.041,0.022,29702,p-Cresol,1ml,6
11,05-08-2025,10:34:19:167465,Pre-Puff,322,83.96,83.11,30.34,68.74,21136,0.047,0.019,29711,p-Cresol,1ml,6
12,05-08-2025,10:34:20:801463,Pre-Puff,322,81.89,84.63,30.34,68.69,21717,0.054,0.022,29718,p-Cresol,1ml,6
13,05-08-2025,10:34:22:454464,Pre-Puff,322,82.14,83.36,30.34,68.67,22330,0.046,0.021,29721,p-Cresol,1ml,6
14,05-08-2025,10:34:24:493463,Pre-Puff,322,80.49,80.74,30.33,68.70,22614,0.054,0.023,29730,p-Cresol,1ml,6
15,05-08-2025,10:34:26:125464,Pre-Puff,322,82.40,84.80,30.33,68.68,23673,0.049,0.020,29733,p-Cresol,1ml,6
