SNO,Timestamp,Phase,Heater_Profile,Heater_Temparature,MQ136,MQ138_A,MQ138_B,BME688_D,BME688_C,TGS2602,SPEC,Alpha_PID,Temp,Hum,ActiveSensorsArray,VOC_Activated,Concentration,Distance
1,22-07-2025 15.02,Pre-Puff,HP322,40,208,386,384,662,441,379,487,813,21.49,52,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
2,22-07-2025 15.02,Pre-Puff,HP322,50,180,386,384,621,412,285,486,803,23.21,52,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
3,22-07-2025 15.02,Pre-Puff,HP322,60,166,233,232,595,422,331,464,818,24.91,54,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
4,22-07-2025 15.02,Pre-Puff,HP322,70,205,309,307,509,412,335,534,818,24.46,53,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
5,22-07-2025 15.02,Pre-Puff,HP322,80,224,296,295,619,439,300,484,817,20.08,50,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
6,22-07-2025 15.02,Pre-Puff,HP322,90,191,300,299,627,446,244,495,825,22.77,51,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
7,22-07-2025 15.02,Pre-Puff,HP322,100,184,364,362,708,430,357,500,820,25.44,55,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
8,22-07-2025 15.02,Pre-Puff,HP322,110,213,274,273,532,432,312,567,829,24.98,53,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
9,22-07-2025 15.02,Pre-Puff,HP322,120,172,386,384,662,429,321,550,838,20.32,52,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
10,22-07-2025 15.02,Pre-Puff,HP324,130,220,336,334,590,454,341,605,830,26.09,54,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
11,22-07-2025 15.02,Pre-Puff,HP324,140,212,295,294,568,452,322,581,840,22.52,52,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
12,22-07-2025 15.02,Pre-Puff,HP324,150,210,342,340,614,459,238,533,826,25.56,52,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
13,22-07-2025 15.02,Pre-Puff,HP324,160,177,391,389,606,477,326,507,844,23.38,52,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
14,22-07-2025 15.02,Pre-Puff,HP324,170,181,342,340,545,469,290,560,840,23.11,54,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
15,22-07-2025 15.02,Pre-Puff,HP324,180,172,379,377,603,461,308,556,847,29.37,50,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
16,22-07-2025 15.02,Pre-Puff,HP324,190,181,381,379,616,476,349,547,842,27.12,50,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
17,22-07-2025 15.02,Pre-Puff,HP324,200,260,335,333,595,463,277,571,848,25.41,50,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
18,22-07-2025 15.02,Pre-Puff,HP324,210,207,253,252,580,467,308,568,848,26.78,55,"1,2,3,4,5,6,7,8",1-Octen-3-ol,0,0
